from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ictai,icra,1994,1985,2,9
ictai,icra,1995,1989,1,13
ictai,icra,1995,1990,1,19
ictai,icra,1995,1993,1,28
ictai,icra,1997,1990,1,14
ictai,icra,2004,1994,1,37
ictai,icra,2004,1999,1,54
ictai,icra,2004,2002,1,78
ictai,icra,2005,1996,1,36
ictai,icra,2005,1997,1,28
ictai,icra,2005,2000,1,56
ictai,icra,2005,2001,1,56
ictai,icra,2005,2002,1,65
ictai,icra,2007,1994,1,46
ictai,icra,2007,2000,1,84
ictai,icra,2007,2001,1,95
ictai,icra,2007,2002,1,96
ictai,icra,2007,2003,1,95
ictai,icra,2007,2005,1,124
ictai,icra,2009,1993,1,15
ictai,icra,2009,2000,1,35
