from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ictai,ijcai,1992,1979,2,2
ictai,ijcai,1992,1987,2,18
ictai,ijcai,1992,1989,3,17
ictai,ijcai,1994,1975,1,5
ictai,ijcai,1994,1977,1,2
ictai,ijcai,1994,1983,3,9
ictai,ijcai,1994,1985,1,9
ictai,ijcai,1994,1987,1,17
ictai,ijcai,1994,1989,9,28
ictai,ijcai,1994,1991,3,34
ictai,ijcai,1994,1993,5,49
ictai,ijcai,1995,1969,1,1
ictai,ijcai,1995,1975,1,1
ictai,ijcai,1995,1977,1,1
ictai,ijcai,1995,1983,2,2
ictai,ijcai,1995,1989,2,13
ictai,ijcai,1995,1991,2,20
ictai,ijcai,1995,1993,1,28
ictai,ijcai,1996,1989,3,8
ictai,ijcai,1996,1993,3,12
ictai,ijcai,1996,1995,1,17
ictai,ijcai,1997,1987,1,4
ictai,ijcai,1997,1989,2,7
ictai,ijcai,1997,1991,1,8
ictai,ijcai,1997,1993,2,14
ictai,ijcai,1997,1995,1,24
ictai,ijcai,1998,1993,2,8
ictai,ijcai,1998,1995,2,15
ictai,ijcai,1998,1997,1,21
ictai,ijcai,1999,1993,3,18
ictai,ijcai,1999,1995,3,22
ictai,ijcai,1999,1997,4,34
ictai,ijcai,2000,1989,1,3
ictai,ijcai,2000,1993,2,7
ictai,ijcai,2000,1995,4,10
ictai,ijcai,2000,1997,1,8
ictai,ijcai,2000,1999,1,5
ictai,ijcai,2001,1993,1,2
ictai,ijcai,2001,1995,3,5
ictai,ijcai,2002,1977,1,2
ictai,ijcai,2002,1987,1,9
ictai,ijcai,2002,1989,1,8
ictai,ijcai,2002,1995,2,31
ictai,ijcai,2002,1997,2,48
ictai,ijcai,2002,1999,6,48
ictai,ijcai,2003,1973,1,1
ictai,ijcai,2003,1983,1,4
ictai,ijcai,2003,1991,1,16
ictai,ijcai,2003,1993,1,18
ictai,ijcai,2003,1995,3,28
ictai,ijcai,2003,2001,4,70
ictai,ijcai,2004,1981,1,2
ictai,ijcai,2004,1987,1,7
ictai,ijcai,2004,1989,2,17
ictai,ijcai,2004,1993,3,21
ictai,ijcai,2004,1995,1,31
ictai,ijcai,2004,1997,1,45
ictai,ijcai,2004,1999,2,54
ictai,ijcai,2004,2001,6,64
ictai,ijcai,2004,2003,2,72
ictai,ijcai,2005,1981,1,3
ictai,ijcai,2005,1993,1,12
ictai,ijcai,2005,1995,2,21
ictai,ijcai,2005,1997,2,28
ictai,ijcai,2005,1999,2,47
ictai,ijcai,2005,2001,6,56
ictai,ijcai,2005,2003,4,63
ictai,ijcai,2006,1995,1,9
ictai,ijcai,2006,2001,1,18
ictai,ijcai,2006,2003,1,28
ictai,ijcai,2006,2005,1,22
ictai,ijcai,2007,1981,2,5
ictai,ijcai,2007,1983,1,8
ictai,ijcai,2007,1989,1,6
ictai,ijcai,2007,1993,1,21
ictai,ijcai,2007,1995,4,31
ictai,ijcai,2007,1997,1,47
ictai,ijcai,2007,1999,4,68
ictai,ijcai,2007,2001,2,95
ictai,ijcai,2007,2003,3,95
ictai,ijcai,2007,2005,4,124
ictai,ijcai,2008,1977,1,1
ictai,ijcai,2008,1981,1,4
ictai,ijcai,2008,1983,1,7
ictai,ijcai,2008,1985,1,7
ictai,ijcai,2008,1989,2,12
ictai,ijcai,2008,1993,4,27
ictai,ijcai,2008,1995,3,24
ictai,ijcai,2008,1997,1,37
ictai,ijcai,2008,1999,4,50
ictai,ijcai,2008,2001,3,60
ictai,ijcai,2008,2003,5,115
ictai,ijcai,2008,2005,3,118
ictai,ijcai,2008,2007,6,97
ictai,ijcai,2009,1981,1,4
ictai,ijcai,2009,1995,2,22
ictai,ijcai,2009,1997,2,48
ictai,ijcai,2009,1999,4,32
ictai,ijcai,2009,2001,4,43
ictai,ijcai,2009,2003,5,70
ictai,ijcai,2009,2005,2,79
ictai,ijcai,2009,2007,9,95
ictai,ijcai,2009,2008,1,84
ictai,ijcai,2010,2003,1,5
ictai,ijcai,2010,2004,1,5
ictai,ijcai,2010,2009,1,7
ictai,ijcai,2011,2003,1,3
ictai,ijcai,2013,2011,1,9
ictai,ijcai,2014,1995,1,2
ictai,ijcai,2014,2003,1,8
ictai,ijcai,2014,2010,1,12
ictai,ijcai,2014,2011,1,8
ictai,ijcai,2014,2013,1,12
ictai,ijcai,2015,1995,2,2
