from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ictai,kr,1994,1989,1,28
ictai,kr,1994,1990,1,25
ictai,kr,1994,1991,1,34
ictai,kr,1994,1992,1,36
ictai,kr,1995,1989,2,13
ictai,kr,1995,1992,1,22
ictai,kr,1995,1994,1,28
ictai,kr,1996,1994,1,15
ictai,kr,1999,1991,1,6
ictai,kr,2002,1992,1,27
ictai,kr,2002,1996,1,31
ictai,kr,2002,1998,2,36
ictai,kr,2003,1991,1,16
ictai,kr,2004,1992,2,20
ictai,kr,2004,2000,1,65
ictai,kr,2005,1989,1,8
ictai,kr,2005,1992,1,13
ictai,kr,2005,1994,1,20
ictai,kr,2005,1996,2,36
ictai,kr,2005,2000,1,56
ictai,kr,2006,1996,1,9
ictai,kr,2007,2006,1,113
ictai,kr,2008,1994,1,33
ictai,kr,2008,1996,1,30
ictai,kr,2008,1998,1,55
ictai,kr,2008,2002,1,102
ictai,kr,2008,2004,1,118
ictai,kr,2009,1992,1,17
ictai,kr,2009,1996,1,26
ictai,kr,2009,1998,1,32
ictai,kr,2009,2002,1,58
ictai,kr,2009,2004,1,74
ictai,kr,2009,2006,1,80
ictai,kr,2011,1994,1,1
ictai,kr,2014,1991,1,1
