from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ictai,nips,1994,1990,1,25
ictai,nips,1994,1992,1,36
ictai,nips,1995,1991,1,20
ictai,nips,1997,1990,3,14
ictai,nips,1997,1992,1,13
ictai,nips,1999,1998,2,45
ictai,nips,2000,1989,1,3
ictai,nips,2000,1998,1,6
ictai,nips,2002,1994,1,22
ictai,nips,2002,1995,1,31
ictai,nips,2002,1999,2,48
ictai,nips,2003,1988,1,10
ictai,nips,2003,1998,2,40
ictai,nips,2003,1999,1,53
ictai,nips,2003,2000,4,53
ictai,nips,2003,2001,2,70
ictai,nips,2004,1990,1,17
ictai,nips,2004,1997,1,45
ictai,nips,2004,1998,2,59
ictai,nips,2004,1999,2,54
ictai,nips,2004,2002,1,78
ictai,nips,2004,2003,3,72
ictai,nips,2005,1990,1,7
ictai,nips,2005,1995,1,21
ictai,nips,2005,1996,1,36
ictai,nips,2005,1997,1,28
ictai,nips,2005,1998,3,51
ictai,nips,2005,1999,1,47
ictai,nips,2005,2000,2,56
ictai,nips,2005,2001,1,56
ictai,nips,2005,2003,2,63
ictai,nips,2005,2004,1,52
ictai,nips,2006,1988,1,4
ictai,nips,2006,1996,1,9
ictai,nips,2006,1997,1,17
ictai,nips,2006,1998,1,17
ictai,nips,2006,1999,1,15
ictai,nips,2006,2002,2,27
ictai,nips,2006,2003,1,28
ictai,nips,2007,1995,1,31
ictai,nips,2007,1996,1,28
ictai,nips,2007,1998,2,56
ictai,nips,2007,1999,3,68
ictai,nips,2007,2000,1,84
ictai,nips,2007,2001,2,95
ictai,nips,2007,2002,2,96
ictai,nips,2007,2003,1,95
ictai,nips,2007,2004,2,138
ictai,nips,2007,2005,1,124
ictai,nips,2007,2006,1,113
ictai,nips,2008,1994,1,33
ictai,nips,2008,1995,2,24
ictai,nips,2008,1998,1,55
ictai,nips,2008,2000,1,73
ictai,nips,2008,2001,4,60
ictai,nips,2008,2004,1,118
ictai,nips,2008,2005,1,118
ictai,nips,2008,2006,1,121
ictai,nips,2008,2007,2,97
ictai,nips,2009,1990,1,9
ictai,nips,2009,1995,2,22
ictai,nips,2009,1998,1,32
ictai,nips,2009,2000,1,35
ictai,nips,2009,2008,1,84
ictai,nips,2011,1999,1,3
ictai,nips,2012,2002,1,2
ictai,nips,2014,1999,1,4
ictai,nips,2014,2007,2,11
ictai,nips,2014,2009,1,12
ictai,nips,2014,2011,1,8
