from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ictai,uai,1994,1993,1,49
ictai,uai,1996,1993,2,12
ictai,uai,1997,1994,1,29
ictai,uai,1999,1998,2,45
ictai,uai,2002,1990,1,14
ictai,uai,2002,1992,1,27
ictai,uai,2002,2000,1,38
ictai,uai,2003,1995,1,28
ictai,uai,2004,1992,1,20
ictai,uai,2004,1994,1,37
ictai,uai,2004,1996,1,49
ictai,uai,2004,1998,1,59
ictai,uai,2004,1999,2,54
ictai,uai,2004,2000,1,65
ictai,uai,2004,2002,1,78
ictai,uai,2005,1994,1,20
ictai,uai,2005,1998,3,51
ictai,uai,2005,1999,1,47
ictai,uai,2005,2000,1,56
ictai,uai,2005,2002,1,65
ictai,uai,2006,1990,3,8
ictai,uai,2006,1998,1,17
ictai,uai,2006,2002,1,27
ictai,uai,2007,1997,1,47
ictai,uai,2007,2001,1,95
ictai,uai,2008,1995,1,24
ictai,uai,2008,1997,2,37
ictai,uai,2008,1998,1,55
ictai,uai,2008,1999,2,50
ictai,uai,2008,2004,1,118
ictai,uai,2009,1992,1,17
ictai,uai,2009,1994,1,24
ictai,uai,2009,1995,2,22
ictai,uai,2009,1998,2,32
ictai,uai,2009,2002,3,58
ictai,uai,2009,2004,2,74
ictai,uai,2010,1993,1,3
ictai,uai,2010,1994,1,1
ictai,uai,2010,1995,1,3
ictai,uai,2012,1995,1,2
