from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,aaai,1981,1980,8,38
ijcai,aaai,1983,1980,5,27
ijcai,aaai,1983,1982,15,57
ijcai,aaai,1985,1980,5,26
ijcai,aaai,1985,1981,1,38
ijcai,aaai,1985,1982,19,36
ijcai,aaai,1985,1983,13,74
ijcai,aaai,1985,1984,13,58
ijcai,aaai,1987,1980,1,22
ijcai,aaai,1987,1982,3,27
ijcai,aaai,1987,1983,8,41
ijcai,aaai,1987,1984,2,37
ijcai,aaai,1987,1986,29,79
ijcai,aaai,1988,1984,1,5
ijcai,aaai,1988,1986,1,6
ijcai,aaai,1988,1987,1,1
ijcai,aaai,1989,1980,1,15
ijcai,aaai,1989,1981,1,19
ijcai,aaai,1989,1982,3,23
ijcai,aaai,1989,1983,5,37
ijcai,aaai,1989,1984,3,36
ijcai,aaai,1989,1985,2,58
ijcai,aaai,1989,1986,18,82
ijcai,aaai,1989,1987,25,111
ijcai,aaai,1989,1988,38,121
ijcai,aaai,1990,1984,1,6
ijcai,aaai,1991,1982,2,19
ijcai,aaai,1991,1984,5,32
ijcai,aaai,1991,1986,3,47
ijcai,aaai,1991,1987,5,74
ijcai,aaai,1991,1988,11,77
ijcai,aaai,1991,1990,22,130
ijcai,aaai,1993,1980,1,5
ijcai,aaai,1993,1983,2,19
ijcai,aaai,1993,1984,4,11
ijcai,aaai,1993,1986,4,32
ijcai,aaai,1993,1987,5,43
ijcai,aaai,1993,1988,5,52
ijcai,aaai,1993,1990,8,63
ijcai,aaai,1993,1991,18,92
ijcai,aaai,1993,1992,11,91
ijcai,aaai,1994,1990,1,1
ijcai,aaai,1995,1983,1,23
ijcai,aaai,1995,1984,3,22
ijcai,aaai,1995,1986,7,45
ijcai,aaai,1995,1987,8,59
ijcai,aaai,1995,1988,12,72
ijcai,aaai,1995,1989,1,79
ijcai,aaai,1995,1990,18,115
ijcai,aaai,1995,1991,20,139
ijcai,aaai,1995,1992,24,162
ijcai,aaai,1995,1993,25,176
ijcai,aaai,1995,1994,51,229
ijcai,aaai,1996,1992,1,4
ijcai,aaai,1997,1980,1,5
ijcai,aaai,1997,1982,1,7
ijcai,aaai,1997,1983,2,10
ijcai,aaai,1997,1986,1,17
ijcai,aaai,1997,1987,3,27
ijcai,aaai,1997,1988,3,19
ijcai,aaai,1997,1989,1,35
ijcai,aaai,1997,1990,5,45
ijcai,aaai,1997,1991,7,49
ijcai,aaai,1997,1992,9,66
ijcai,aaai,1997,1993,8,78
ijcai,aaai,1997,1994,9,92
ijcai,aaai,1997,1996,21,112
ijcai,aaai,1999,1986,1,15
ijcai,aaai,1999,1987,2,22
ijcai,aaai,1999,1988,4,27
ijcai,aaai,1999,1990,4,43
ijcai,aaai,1999,1991,6,55
ijcai,aaai,1999,1992,9,65
ijcai,aaai,1999,1993,6,54
ijcai,aaai,1999,1994,13,76
ijcai,aaai,1999,1996,17,90
ijcai,aaai,1999,1997,14,123
ijcai,aaai,1999,1998,29,177
ijcai,aaai,2001,1980,1,5
ijcai,aaai,2001,1982,1,4
ijcai,aaai,2001,1984,2,5
ijcai,aaai,2001,1987,3,20
ijcai,aaai,2001,1988,3,16
ijcai,aaai,2001,1990,1,27
ijcai,aaai,2001,1991,4,36
ijcai,aaai,2001,1992,4,40
ijcai,aaai,2001,1993,5,33
ijcai,aaai,2001,1994,6,46
ijcai,aaai,2001,1996,14,85
ijcai,aaai,2001,1997,21,104
ijcai,aaai,2001,1998,15,94
