from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,colt,1991,1988,1,77
ijcai,colt,1995,1989,1,79
ijcai,colt,1995,1992,4,162
ijcai,colt,1995,1993,2,176
ijcai,colt,1995,1994,3,229
ijcai,colt,1997,1994,1,92
ijcai,colt,1999,1992,2,65
ijcai,colt,1999,1993,2,54
ijcai,colt,1999,1994,1,76
ijcai,colt,1999,1995,1,82
ijcai,colt,1999,1998,2,177
ijcai,colt,2003,1992,1,43
ijcai,colt,2003,1997,1,110
ijcai,colt,2003,1998,2,126
ijcai,colt,2003,1999,1,142
ijcai,colt,2003,2000,1,179
ijcai,colt,2005,1992,2,45
ijcai,colt,2005,1998,2,93
ijcai,colt,2005,2002,1,134
ijcai,colt,2005,2004,1,236
ijcai,colt,2007,1988,1,19
ijcai,colt,2007,1994,2,62
ijcai,colt,2007,1995,1,71
ijcai,colt,2007,1997,1,100
ijcai,colt,2007,1998,2,126
ijcai,colt,2007,1999,1,133
ijcai,colt,2007,2000,1,164
ijcai,colt,2008,1999,1,8
ijcai,colt,2009,1992,1,33
ijcai,colt,2009,1994,1,55
ijcai,colt,2009,1998,2,70
ijcai,colt,2009,2001,2,109
ijcai,colt,2009,2003,1,183
ijcai,colt,2009,2004,2,202
ijcai,colt,2009,2005,2,215
ijcai,colt,2011,1998,1,50
ijcai,colt,2011,2003,1,121
ijcai,colt,2013,1992,1,33
ijcai,colt,2013,1996,1,44
ijcai,colt,2013,1997,1,41
ijcai,colt,2013,1998,2,57
ijcai,colt,2013,2001,1,85
ijcai,colt,2013,2002,1,82
ijcai,colt,2013,2005,2,118
ijcai,colt,2013,2007,1,179
ijcai,colt,2013,2009,1,267
ijcai,colt,2015,1993,1,6
ijcai,colt,2015,2003,1,24
