from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,cvpr,1985,1983,1,74
ijcai,cvpr,1987,1986,2,79
ijcai,cvpr,1989,1988,1,121
ijcai,cvpr,1991,1989,5,103
ijcai,cvpr,1995,1993,1,176
ijcai,cvpr,1995,1994,2,229
ijcai,cvpr,1997,1992,1,66
ijcai,cvpr,1997,1994,1,92
ijcai,cvpr,1999,1998,1,177
ijcai,cvpr,2001,1996,1,85
ijcai,cvpr,2001,1997,1,104
ijcai,cvpr,2001,2000,2,140
ijcai,cvpr,2003,1998,1,126
ijcai,cvpr,2003,2000,1,179
ijcai,cvpr,2005,1995,1,60
ijcai,cvpr,2005,1997,1,62
ijcai,cvpr,2005,2000,1,133
ijcai,cvpr,2005,2001,1,129
ijcai,cvpr,2005,2004,1,236
ijcai,cvpr,2007,1996,1,91
ijcai,cvpr,2007,1997,2,100
ijcai,cvpr,2007,1999,3,133
ijcai,cvpr,2007,2000,3,164
ijcai,cvpr,2007,2001,4,193
ijcai,cvpr,2007,2003,6,286
ijcai,cvpr,2007,2004,12,371
ijcai,cvpr,2007,2005,17,418
ijcai,cvpr,2007,2006,6,247
ijcai,cvpr,2008,2003,1,21
ijcai,cvpr,2008,2004,1,14
ijcai,cvpr,2009,1983,1,7
ijcai,cvpr,2009,1989,1,19
ijcai,cvpr,2009,2000,1,79
ijcai,cvpr,2009,2003,1,183
ijcai,cvpr,2009,2004,2,202
ijcai,cvpr,2009,2005,5,215
ijcai,cvpr,2009,2006,7,266
ijcai,cvpr,2009,2007,5,311
ijcai,cvpr,2009,2008,7,281
ijcai,cvpr,2011,1997,2,47
ijcai,cvpr,2011,2003,2,121
ijcai,cvpr,2011,2004,2,116
ijcai,cvpr,2011,2005,1,134
ijcai,cvpr,2011,2006,1,179
ijcai,cvpr,2011,2007,1,205
ijcai,cvpr,2011,2008,1,223
ijcai,cvpr,2011,2009,4,283
ijcai,cvpr,2013,1997,1,41
ijcai,cvpr,2013,2001,2,85
ijcai,cvpr,2013,2004,1,121
ijcai,cvpr,2013,2005,5,118
ijcai,cvpr,2013,2006,1,139
ijcai,cvpr,2013,2007,4,179
ijcai,cvpr,2013,2008,13,222
ijcai,cvpr,2013,2009,8,267
ijcai,cvpr,2013,2010,7,283
ijcai,cvpr,2013,2011,11,299
ijcai,cvpr,2013,2012,10,318
ijcai,cvpr,2014,2009,1,6
ijcai,cvpr,2015,2001,1,12
ijcai,cvpr,2015,2006,1,30
ijcai,cvpr,2015,2010,2,61
ijcai,cvpr,2015,2011,1,68
ijcai,cvpr,2015,2012,4,64
ijcai,cvpr,2015,2013,2,71
