from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,ecai,1977,1976,1,23
ijcai,ecai,1983,1978,1,14
ijcai,ecai,1983,1982,3,57
ijcai,ecai,1985,1984,3,58
ijcai,ecai,1987,1984,2,37
ijcai,ecai,1989,1985,1,58
ijcai,ecai,1989,1986,1,82
ijcai,ecai,1989,1988,3,121
ijcai,ecai,1991,1986,2,47
ijcai,ecai,1991,1988,1,77
ijcai,ecai,1991,1990,8,130
ijcai,ecai,1993,1988,1,52
ijcai,ecai,1993,1990,3,63
ijcai,ecai,1993,1992,10,91
ijcai,ecai,1995,1976,1,5
ijcai,ecai,1995,1988,1,72
ijcai,ecai,1995,1990,3,115
ijcai,ecai,1995,1992,8,162
ijcai,ecai,1995,1994,7,229
ijcai,ecai,1997,1982,1,7
ijcai,ecai,1997,1992,1,66
ijcai,ecai,1997,1994,3,92
ijcai,ecai,1997,1996,3,112
ijcai,ecai,1999,1976,1,2
ijcai,ecai,1999,1988,1,27
ijcai,ecai,1999,1990,1,43
ijcai,ecai,1999,1992,2,65
ijcai,ecai,1999,1994,2,76
ijcai,ecai,1999,1996,6,90
ijcai,ecai,1999,1998,6,177
ijcai,ecai,2001,1990,1,27
ijcai,ecai,2001,1992,1,40
ijcai,ecai,2001,1996,5,85
ijcai,ecai,2001,1998,4,94
ijcai,ecai,2001,2000,5,140
ijcai,ecai,2003,1990,1,27
ijcai,ecai,2003,1992,1,43
ijcai,ecai,2003,1994,2,69
ijcai,ecai,2003,1996,1,63
ijcai,ecai,2003,1997,1,110
ijcai,ecai,2003,1998,5,126
ijcai,ecai,2003,2000,2,179
ijcai,ecai,2003,2002,8,224
ijcai,ecai,2005,1986,1,14
ijcai,ecai,2005,1990,1,25
ijcai,ecai,2005,1992,1,45
ijcai,ecai,2005,1996,2,68
ijcai,ecai,2005,1998,1,93
ijcai,ecai,2005,1999,1,103
ijcai,ecai,2005,2000,9,133
ijcai,ecai,2005,2002,2,134
ijcai,ecai,2005,2004,16,236
ijcai,ecai,2007,1988,1,19
ijcai,ecai,2007,1990,2,32
ijcai,ecai,2007,1992,2,40
ijcai,ecai,2007,1996,2,91
ijcai,ecai,2007,1998,4,126
ijcai,ecai,2007,2000,4,164
ijcai,ecai,2007,2002,4,236
ijcai,ecai,2007,2004,13,371
ijcai,ecai,2007,2006,7,247
ijcai,ecai,2008,1990,1,3
ijcai,ecai,2008,1992,1,6
ijcai,ecai,2008,2004,1,14
ijcai,ecai,2009,1997,1,65
ijcai,ecai,2009,1998,1,70
ijcai,ecai,2009,2000,2,79
ijcai,ecai,2009,2002,2,124
ijcai,ecai,2009,2004,6,202
ijcai,ecai,2009,2006,3,266
ijcai,ecai,2009,2008,8,281
ijcai,ecai,2011,1990,1,12
ijcai,ecai,2011,1992,1,38
ijcai,ecai,2011,1994,1,33
ijcai,ecai,2011,2000,1,61
ijcai,ecai,2011,2002,1,82
ijcai,ecai,2011,2004,2,116
ijcai,ecai,2011,2006,1,179
ijcai,ecai,2011,2007,1,205
ijcai,ecai,2011,2008,8,223
ijcai,ecai,2011,2010,5,248
ijcai,ecai,2012,2004,1,4
ijcai,ecai,2012,2008,1,7
ijcai,ecai,2012,2010,1,2
ijcai,ecai,2013,1992,1,33
ijcai,ecai,2013,1996,1,44
ijcai,ecai,2013,1998,2,57
ijcai,ecai,2013,2000,1,56
ijcai,ecai,2013,2002,3,82
ijcai,ecai,2013,2004,6,121
ijcai,ecai,2013,2006,4,139
ijcai,ecai,2013,2008,4,222
ijcai,ecai,2013,2010,5,283
ijcai,ecai,2014,2010,1,5
ijcai,ecai,2015,2010,2,61
