from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,eccv,1995,1990,1,115
ijcai,eccv,1995,1992,1,162
ijcai,eccv,1995,1994,1,229
ijcai,eccv,1997,1992,1,66
ijcai,eccv,1997,1994,3,92
ijcai,eccv,2007,1998,1,126
ijcai,eccv,2007,2000,1,164
ijcai,eccv,2007,2002,1,236
ijcai,eccv,2007,2004,4,371
ijcai,eccv,2007,2006,1,247
ijcai,eccv,2009,1996,1,44
ijcai,eccv,2009,2002,3,124
ijcai,eccv,2009,2006,3,266
ijcai,eccv,2009,2008,1,281
ijcai,eccv,2011,2004,1,116
ijcai,eccv,2011,2006,2,179
ijcai,eccv,2011,2008,2,223
ijcai,eccv,2011,2010,1,248
ijcai,eccv,2013,2002,2,82
ijcai,eccv,2013,2006,4,139
ijcai,eccv,2013,2008,1,222
ijcai,eccv,2013,2010,6,283
ijcai,eccv,2013,2012,1,318
ijcai,eccv,2015,2010,1,61
ijcai,eccv,2015,2012,1,64
ijcai,eccv,2015,2014,1,55
