from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,emnlp,2003,2002,1,224
ijcai,emnlp,2005,2000,2,133
ijcai,emnlp,2005,2002,2,134
ijcai,emnlp,2005,2004,3,236
ijcai,emnlp,2007,2001,2,193
ijcai,emnlp,2007,2002,3,236
ijcai,emnlp,2007,2003,1,286
ijcai,emnlp,2007,2004,9,371
ijcai,emnlp,2007,2005,13,418
ijcai,emnlp,2007,2006,2,247
ijcai,emnlp,2009,2002,2,124
ijcai,emnlp,2009,2003,1,183
ijcai,emnlp,2009,2004,2,202
ijcai,emnlp,2009,2005,4,215
ijcai,emnlp,2009,2006,2,266
ijcai,emnlp,2009,2007,3,311
ijcai,emnlp,2009,2008,4,281
ijcai,emnlp,2011,2002,1,82
ijcai,emnlp,2011,2004,2,116
ijcai,emnlp,2011,2005,2,134
ijcai,emnlp,2011,2006,3,179
ijcai,emnlp,2011,2007,3,205
ijcai,emnlp,2011,2008,4,223
ijcai,emnlp,2011,2009,6,283
ijcai,emnlp,2011,2010,8,248
ijcai,emnlp,2013,2002,1,82
ijcai,emnlp,2013,2003,1,115
ijcai,emnlp,2013,2004,3,121
ijcai,emnlp,2013,2005,2,118
ijcai,emnlp,2013,2006,2,139
ijcai,emnlp,2013,2007,5,179
ijcai,emnlp,2013,2008,7,222
ijcai,emnlp,2013,2009,2,267
ijcai,emnlp,2013,2010,8,283
ijcai,emnlp,2013,2011,5,299
ijcai,emnlp,2013,2012,3,318
ijcai,emnlp,2014,2010,1,5
ijcai,emnlp,2015,2003,1,24
ijcai,emnlp,2015,2004,1,18
ijcai,emnlp,2015,2005,1,25
ijcai,emnlp,2015,2008,1,38
ijcai,emnlp,2015,2010,3,61
ijcai,emnlp,2015,2011,4,68
ijcai,emnlp,2015,2012,3,64
ijcai,emnlp,2015,2013,5,71
ijcai,emnlp,2015,2014,3,55
