from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,icaps,2005,2003,1,165
ijcai,icaps,2005,2004,1,236
ijcai,icaps,2009,2003,1,183
ijcai,icaps,2009,2004,1,202
ijcai,icaps,2009,2005,1,215
ijcai,icaps,2009,2007,2,311
ijcai,icaps,2011,2005,1,134
ijcai,icaps,2011,2007,1,205
ijcai,icaps,2011,2008,1,223
ijcai,icaps,2011,2009,4,283
ijcai,icaps,2011,2010,4,248
ijcai,icaps,2013,2003,1,115
ijcai,icaps,2013,2005,1,118
ijcai,icaps,2013,2007,2,179
ijcai,icaps,2013,2008,1,222
ijcai,icaps,2013,2009,2,267
ijcai,icaps,2013,2010,3,283
ijcai,icaps,2013,2011,4,299
ijcai,icaps,2013,2012,5,318
ijcai,icaps,2015,2008,1,38
ijcai,icaps,2015,2009,1,50
ijcai,icaps,2015,2010,3,61
ijcai,icaps,2015,2014,1,55
