from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,icml,1989,1984,1,36
ijcai,icml,1989,1987,3,111
ijcai,icml,1989,1988,10,121
ijcai,icml,1991,1987,4,74
ijcai,icml,1991,1988,3,77
ijcai,icml,1991,1989,6,103
ijcai,icml,1991,1990,6,130
ijcai,icml,1993,1988,4,52
ijcai,icml,1993,1989,2,59
ijcai,icml,1993,1990,1,63
ijcai,icml,1993,1991,1,92
ijcai,icml,1993,1992,2,91
ijcai,icml,1995,1987,1,59
ijcai,icml,1995,1988,3,72
ijcai,icml,1995,1990,2,115
ijcai,icml,1995,1991,2,139
ijcai,icml,1995,1992,4,162
ijcai,icml,1995,1993,3,176
ijcai,icml,1995,1994,8,229
ijcai,icml,1997,1989,1,35
ijcai,icml,1997,1990,3,45
ijcai,icml,1997,1991,1,49
ijcai,icml,1997,1992,2,66
ijcai,icml,1997,1994,2,92
ijcai,icml,1997,1995,6,111
ijcai,icml,1997,1996,7,112
ijcai,icml,1999,1988,1,27
ijcai,icml,1999,1989,1,21
ijcai,icml,1999,1991,2,55
ijcai,icml,1999,1993,1,54
ijcai,icml,1999,1994,1,76
ijcai,icml,1999,1995,4,82
ijcai,icml,1999,1996,7,90
ijcai,icml,1999,1997,4,123
ijcai,icml,1999,1998,9,177
ijcai,icml,2001,1988,1,16
ijcai,icml,2001,1990,1,27
ijcai,icml,2001,1992,2,40
ijcai,icml,2001,1993,1,33
ijcai,icml,2001,1994,2,46
ijcai,icml,2001,1995,1,49
ijcai,icml,2001,1996,1,85
ijcai,icml,2001,1997,3,104
ijcai,icml,2001,1998,2,94
ijcai,icml,2001,1999,1,122
ijcai,icml,2001,2000,6,140
ijcai,icml,2002,1994,1,1
ijcai,icml,2003,1989,1,21
ijcai,icml,2003,1993,2,45
ijcai,icml,2003,1994,2,69
ijcai,icml,2003,1995,2,64
ijcai,icml,2003,1996,2,63
ijcai,icml,2003,1997,4,110
ijcai,icml,2003,1998,6,126
ijcai,icml,2003,1999,3,142
ijcai,icml,2003,2000,8,179
ijcai,icml,2003,2001,3,207
ijcai,icml,2003,2002,8,224
ijcai,icml,2005,1988,1,13
ijcai,icml,2005,1989,1,16
ijcai,icml,2005,1990,1,25
ijcai,icml,2005,1991,3,34
ijcai,icml,2005,1992,2,45
ijcai,icml,2005,1993,1,31
ijcai,icml,2005,1994,3,57
ijcai,icml,2005,1995,6,60
ijcai,icml,2005,1996,2,68
ijcai,icml,2005,1997,1,62
ijcai,icml,2005,1998,4,93
ijcai,icml,2005,1999,3,103
ijcai,icml,2005,2000,11,133
ijcai,icml,2005,2001,4,129
ijcai,icml,2005,2002,3,134
ijcai,icml,2005,2003,5,165
ijcai,icml,2005,2004,7,236
ijcai,icml,2007,1988,2,19
ijcai,icml,2007,1993,1,51
ijcai,icml,2007,1994,3,62
ijcai,icml,2007,1995,5,71
ijcai,icml,2007,1996,4,91
ijcai,icml,2007,1997,1,100
ijcai,icml,2007,1998,4,126
ijcai,icml,2007,1999,3,133
ijcai,icml,2007,2000,8,164
ijcai,icml,2007,2001,6,193
ijcai,icml,2007,2002,10,236
ijcai,icml,2007,2003,12,286
ijcai,icml,2007,2004,24,371
ijcai,icml,2007,2005,17,418
ijcai,icml,2007,2006,6,247
ijcai,icml,2008,1994,1,5
ijcai,icml,2008,1999,1,8
ijcai,icml,2008,2004,2,14
ijcai,icml,2008,2005,1,8
ijcai,icml,2009,1992,1,33
ijcai,icml,2009,1995,2,51
ijcai,icml,2009,1996,1,44
ijcai,icml,2009,1997,1,65
ijcai,icml,2009,1998,3,70
ijcai,icml,2009,1999,2,85
ijcai,icml,2009,2000,4,79
ijcai,icml,2009,2001,3,109
ijcai,icml,2009,2002,3,124
ijcai,icml,2009,2003,8,183
ijcai,icml,2009,2004,9,202
ijcai,icml,2009,2005,13,215
ijcai,icml,2009,2006,17,266
ijcai,icml,2009,2007,13,311
ijcai,icml,2009,2008,8,281
ijcai,icml,2010,1998,1,2
ijcai,icml,2010,2003,1,5
ijcai,icml,2011,1992,1,38
ijcai,icml,2011,1993,1,17
ijcai,icml,2011,1994,1,33
ijcai,icml,2011,1995,1,36
ijcai,icml,2011,1996,1,37
ijcai,icml,2011,1997,2,47
ijcai,icml,2011,1998,1,50
ijcai,icml,2011,1999,2,53
ijcai,icml,2011,2000,4,61
ijcai,icml,2011,2001,3,64
ijcai,icml,2011,2002,1,82
ijcai,icml,2011,2003,7,121
ijcai,icml,2011,2004,5,116
ijcai,icml,2011,2005,4,134
ijcai,icml,2011,2006,7,179
ijcai,icml,2011,2007,7,205
ijcai,icml,2011,2008,7,223
ijcai,icml,2011,2009,11,283
ijcai,icml,2011,2010,4,248
ijcai,icml,2012,2000,1,5
ijcai,icml,2012,2003,1,2
ijcai,icml,2013,1994,2,41
ijcai,icml,2013,1996,1,44
ijcai,icml,2013,1998,3,57
ijcai,icml,2013,1999,2,60
ijcai,icml,2013,2000,7,56
ijcai,icml,2013,2001,3,85
ijcai,icml,2013,2002,3,82
ijcai,icml,2013,2003,7,115
ijcai,icml,2013,2004,7,121
ijcai,icml,2013,2005,7,118
ijcai,icml,2013,2006,5,139
ijcai,icml,2013,2007,8,179
ijcai,icml,2013,2008,10,222
ijcai,icml,2013,2009,16,267
ijcai,icml,2013,2010,13,283
ijcai,icml,2013,2011,15,299
ijcai,icml,2013,2012,12,318
ijcai,icml,2014,2002,1,1
ijcai,icml,2014,2003,1,6
ijcai,icml,2015,1991,1,5
ijcai,icml,2015,1996,1,14
ijcai,icml,2015,1997,1,6
ijcai,icml,2015,1998,1,13
ijcai,icml,2015,2001,1,12
ijcai,icml,2015,2003,2,24
ijcai,icml,2015,2005,2,25
ijcai,icml,2015,2006,4,30
ijcai,icml,2015,2007,2,36
ijcai,icml,2015,2008,3,38
ijcai,icml,2015,2009,1,50
ijcai,icml,2015,2010,5,61
ijcai,icml,2015,2011,8,68
ijcai,icml,2015,2012,5,64
ijcai,icml,2015,2013,4,71
ijcai,icml,2015,2014,4,55
