from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,icpr,1983,1980,1,27
ijcai,icpr,1991,1990,1,130
ijcai,icpr,1995,1992,1,162
ijcai,icpr,1995,1994,1,229
ijcai,icpr,1999,1994,1,76
ijcai,icpr,2001,1994,1,46
ijcai,icpr,2003,1994,1,69
ijcai,icpr,2003,2002,1,224
ijcai,icpr,2005,1996,1,68
ijcai,icpr,2007,2000,1,164
ijcai,icpr,2007,2002,1,236
ijcai,icpr,2007,2004,5,371
ijcai,icpr,2007,2005,1,418
ijcai,icpr,2007,2006,2,247
ijcai,icpr,2009,2002,1,124
ijcai,icpr,2009,2004,2,202
ijcai,icpr,2009,2006,1,266
ijcai,icpr,2009,2008,1,281
ijcai,icpr,2011,1996,1,37
ijcai,icpr,2011,2000,1,61
ijcai,icpr,2011,2008,1,223
ijcai,icpr,2013,2006,1,139
ijcai,icpr,2013,2010,1,283
