from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,icra,1985,1984,4,58
ijcai,icra,1987,1984,1,37
ijcai,icra,1987,1985,1,65
ijcai,icra,1987,1986,3,79
ijcai,icra,1989,1985,1,58
ijcai,icra,1989,1986,1,82
ijcai,icra,1991,1985,1,37
ijcai,icra,1991,1987,2,74
ijcai,icra,1991,1990,1,130
ijcai,icra,1993,1987,1,43
ijcai,icra,1993,1992,3,91
ijcai,icra,1995,1987,1,59
ijcai,icra,1995,1989,1,79
ijcai,icra,1995,1990,1,115
ijcai,icra,1995,1991,3,139
ijcai,icra,1995,1992,2,162
ijcai,icra,1995,1993,1,176
ijcai,icra,1995,1994,1,229
ijcai,icra,1997,1996,4,112
ijcai,icra,1999,1985,1,14
ijcai,icra,1999,1989,1,21
ijcai,icra,1999,1995,2,82
ijcai,icra,1999,1997,1,123
ijcai,icra,1999,1998,1,177
ijcai,icra,2001,1986,2,9
ijcai,icra,2001,1992,2,40
ijcai,icra,2001,1994,1,46
ijcai,icra,2001,1996,1,85
ijcai,icra,2001,1998,2,94
ijcai,icra,2001,1999,2,122
ijcai,icra,2001,2000,2,140
ijcai,icra,2003,1985,1,16
ijcai,icra,2003,1987,1,19
ijcai,icra,2003,1994,2,69
ijcai,icra,2003,1997,1,110
ijcai,icra,2003,1998,2,126
ijcai,icra,2003,1999,1,142
ijcai,icra,2003,2000,1,179
ijcai,icra,2003,2001,4,207
ijcai,icra,2003,2002,2,224
ijcai,icra,2005,1998,1,93
ijcai,icra,2005,1999,1,103
ijcai,icra,2005,2001,1,129
ijcai,icra,2005,2004,3,236
ijcai,icra,2007,1985,1,20
ijcai,icra,2007,1986,1,21
ijcai,icra,2007,1990,1,32
ijcai,icra,2007,1996,3,91
ijcai,icra,2007,1999,1,133
ijcai,icra,2007,2000,1,164
ijcai,icra,2007,2001,3,193
ijcai,icra,2007,2002,1,236
ijcai,icra,2007,2004,6,371
ijcai,icra,2007,2005,6,418
ijcai,icra,2007,2006,7,247
ijcai,icra,2008,1986,1,4
ijcai,icra,2008,1987,2,4
ijcai,icra,2008,1995,1,10
ijcai,icra,2008,1996,1,8
ijcai,icra,2008,2000,1,10
ijcai,icra,2008,2001,1,8
ijcai,icra,2008,2003,4,21
ijcai,icra,2008,2004,2,14
ijcai,icra,2009,1994,1,55
ijcai,icra,2009,1995,1,51
ijcai,icra,2009,2005,1,215
ijcai,icra,2009,2006,3,266
ijcai,icra,2009,2007,1,311
ijcai,icra,2009,2008,1,281
ijcai,icra,2010,2003,1,5
ijcai,icra,2011,1985,1,14
ijcai,icra,2011,2002,1,82
ijcai,icra,2011,2004,2,116
ijcai,icra,2011,2005,2,134
ijcai,icra,2011,2007,1,205
ijcai,icra,2011,2008,1,223
ijcai,icra,2011,2009,2,283
ijcai,icra,2011,2010,4,248
ijcai,icra,2013,2000,1,56
ijcai,icra,2013,2002,1,82
ijcai,icra,2013,2004,1,121
ijcai,icra,2013,2007,2,179
ijcai,icra,2013,2009,1,267
ijcai,icra,2013,2011,2,299
ijcai,icra,2013,2012,2,318
ijcai,icra,2014,2004,1,3
ijcai,icra,2015,2002,1,17
ijcai,icra,2015,2014,2,55
