from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,ictai,1995,1994,1,229
ijcai,ictai,1997,1994,2,92
ijcai,ictai,1999,1995,1,82
ijcai,ictai,2003,1997,1,110
ijcai,ictai,2005,1998,1,93
ijcai,ictai,2005,1999,1,103
ijcai,ictai,2005,2003,1,165
ijcai,ictai,2005,2004,1,236
ijcai,ictai,2007,1998,1,126
ijcai,ictai,2009,2003,1,183
ijcai,ictai,2009,2004,1,202
ijcai,ictai,2009,2006,1,266
ijcai,ictai,2009,2008,1,281
ijcai,ictai,2011,2005,1,134
ijcai,ictai,2011,2010,1,248
ijcai,ictai,2013,2005,1,118
ijcai,ictai,2013,2007,1,179
ijcai,ictai,2013,2008,1,222
ijcai,ictai,2013,2010,1,283
ijcai,ictai,2013,2011,1,299
ijcai,ictai,2015,2004,1,18
