from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,ijcai,1971,1969,5,13
ijcai,ijcai,1973,1969,4,8
ijcai,ijcai,1973,1971,5,18
ijcai,ijcai,1974,1973,1,1
ijcai,ijcai,1975,1969,1,5
ijcai,ijcai,1975,1971,5,12
ijcai,ijcai,1975,1973,12,24
ijcai,ijcai,1977,1969,2,4
ijcai,ijcai,1977,1971,1,4
ijcai,ijcai,1977,1973,6,17
ijcai,ijcai,1977,1975,15,27
ijcai,ijcai,1977,1976,1,23
ijcai,ijcai,1979,1969,1,4
ijcai,ijcai,1979,1971,2,8
ijcai,ijcai,1979,1973,2,10
ijcai,ijcai,1979,1975,7,18
ijcai,ijcai,1979,1976,1,20
ijcai,ijcai,1979,1977,18,42
ijcai,ijcai,1979,1978,1,28
ijcai,ijcai,1981,1973,3,4
ijcai,ijcai,1981,1975,1,11
ijcai,ijcai,1981,1977,20,46
ijcai,ijcai,1981,1978,1,16
ijcai,ijcai,1981,1979,18,33
ijcai,ijcai,1981,1980,1,38
ijcai,ijcai,1983,1973,1,3
ijcai,ijcai,1983,1975,3,5
ijcai,ijcai,1983,1977,13,21
ijcai,ijcai,1983,1978,1,14
ijcai,ijcai,1983,1979,7,18
ijcai,ijcai,1983,1981,13,38
ijcai,ijcai,1984,1979,1,1
ijcai,ijcai,1984,1983,1,1
ijcai,ijcai,1985,1969,1,5
ijcai,ijcai,1985,1973,2,5
ijcai,ijcai,1985,1975,1,13
ijcai,ijcai,1985,1977,9,17
ijcai,ijcai,1985,1978,1,21
ijcai,ijcai,1985,1979,7,19
ijcai,ijcai,1985,1980,1,26
ijcai,ijcai,1985,1981,17,38
ijcai,ijcai,1985,1983,22,74
ijcai,ijcai,1987,1973,2,6
ijcai,ijcai,1987,1977,9,21
ijcai,ijcai,1987,1978,1,9
ijcai,ijcai,1987,1981,3,22
ijcai,ijcai,1987,1983,10,41
ijcai,ijcai,1987,1985,21,65
ijcai,ijcai,1988,1977,1,1
