from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,kr,1991,1989,9,103
ijcai,kr,1993,1989,5,59
ijcai,kr,1993,1990,2,63
ijcai,kr,1993,1991,6,92
ijcai,kr,1993,1992,2,91
ijcai,kr,1995,1989,7,79
ijcai,kr,1995,1990,1,115
ijcai,kr,1995,1991,1,139
ijcai,kr,1995,1992,8,162
ijcai,kr,1995,1994,11,229
ijcai,kr,1997,1989,1,35
ijcai,kr,1997,1991,2,49
ijcai,kr,1997,1992,3,66
ijcai,kr,1997,1994,6,92
ijcai,kr,1997,1996,6,112
ijcai,kr,1999,1989,1,21
ijcai,kr,1999,1991,4,55
ijcai,kr,1999,1992,6,65
ijcai,kr,1999,1994,6,76
ijcai,kr,1999,1996,5,90
ijcai,kr,1999,1998,7,177
ijcai,kr,2001,1989,3,20
ijcai,kr,2001,1991,3,36
ijcai,kr,2001,1992,4,40
ijcai,kr,2001,1994,4,46
ijcai,kr,2001,1996,6,85
ijcai,kr,2001,1997,1,104
ijcai,kr,2001,1998,5,94
ijcai,kr,2001,2000,3,140
ijcai,kr,2002,1991,1,1
ijcai,kr,2003,1989,2,21
ijcai,kr,2003,1991,1,38
ijcai,kr,2003,1992,3,43
ijcai,kr,2003,1994,2,69
ijcai,kr,2003,1996,5,63
ijcai,kr,2003,1998,7,126
ijcai,kr,2003,2000,3,179
ijcai,kr,2003,2002,5,224
ijcai,kr,2005,1989,1,16
ijcai,kr,2005,1991,1,34
ijcai,kr,2005,1992,3,45
ijcai,kr,2005,1994,1,57
ijcai,kr,2005,1996,5,68
ijcai,kr,2005,1998,6,93
ijcai,kr,2005,2000,5,133
ijcai,kr,2005,2002,9,134
ijcai,kr,2005,2004,6,236
ijcai,kr,2007,1989,1,18
ijcai,kr,2007,1992,2,40
ijcai,kr,2007,1994,2,62
ijcai,kr,2007,1996,5,91
ijcai,kr,2007,1998,4,126
ijcai,kr,2007,2000,6,164
ijcai,kr,2007,2002,5,236
ijcai,kr,2007,2004,4,371
ijcai,kr,2007,2006,6,247
ijcai,kr,2008,1994,1,5
ijcai,kr,2009,1991,1,28
ijcai,kr,2009,1992,1,33
ijcai,kr,2009,1994,1,55
ijcai,kr,2009,1998,2,70
ijcai,kr,2009,2000,3,79
ijcai,kr,2009,2002,2,124
ijcai,kr,2009,2004,6,202
ijcai,kr,2009,2006,8,266
ijcai,kr,2009,2008,9,281
ijcai,kr,2011,1991,1,23
ijcai,kr,2011,1992,2,38
ijcai,kr,2011,1998,3,50
ijcai,kr,2011,2002,1,82
ijcai,kr,2011,2004,3,116
ijcai,kr,2011,2006,7,179
ijcai,kr,2011,2008,4,223
ijcai,kr,2011,2010,11,248
ijcai,kr,2012,1994,1,1
ijcai,kr,2012,2006,1,6
ijcai,kr,2012,2008,1,7
ijcai,kr,2013,1989,1,17
ijcai,kr,2013,1992,2,33
ijcai,kr,2013,1993,1,26
ijcai,kr,2013,1994,1,41
ijcai,kr,2013,1996,2,44
ijcai,kr,2013,1998,3,57
ijcai,kr,2013,2002,2,82
ijcai,kr,2013,2004,1,121
ijcai,kr,2013,2006,5,139
ijcai,kr,2013,2008,4,222
ijcai,kr,2013,2010,4,283
ijcai,kr,2013,2011,1,299
ijcai,kr,2013,2012,12,318
ijcai,kr,2015,1991,1,5
ijcai,kr,2015,2008,1,38
ijcai,kr,2015,2010,1,61
ijcai,kr,2015,2012,1,64
