from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,naacl,1995,1994,2,229
ijcai,naacl,2003,1999,1,142
ijcai,naacl,2003,2000,2,179
ijcai,naacl,2003,2001,1,207
ijcai,naacl,2005,1991,1,34
ijcai,naacl,2005,1994,1,57
ijcai,naacl,2005,1999,1,103
ijcai,naacl,2005,2000,1,133
ijcai,naacl,2005,2001,2,129
ijcai,naacl,2005,2003,8,165
ijcai,naacl,2005,2004,3,236
ijcai,naacl,2006,2004,1,3
ijcai,naacl,2007,1991,1,49
ijcai,naacl,2007,2000,5,164
ijcai,naacl,2007,2003,14,286
ijcai,naacl,2007,2004,10,371
ijcai,naacl,2007,2006,2,247
ijcai,naacl,2008,1999,1,8
ijcai,naacl,2008,2003,1,21
ijcai,naacl,2009,1999,1,85
ijcai,naacl,2009,2001,1,109
ijcai,naacl,2009,2003,3,183
ijcai,naacl,2009,2005,1,215
ijcai,naacl,2009,2007,3,311
ijcai,naacl,2011,2001,1,64
ijcai,naacl,2011,2003,6,121
ijcai,naacl,2011,2006,5,179
ijcai,naacl,2011,2007,1,205
ijcai,naacl,2011,2009,5,283
ijcai,naacl,2011,2010,6,248
ijcai,naacl,2013,2003,4,115
ijcai,naacl,2013,2006,2,139
ijcai,naacl,2013,2009,2,267
ijcai,naacl,2013,2010,1,283
ijcai,naacl,2013,2011,1,299
ijcai,naacl,2013,2012,2,318
ijcai,naacl,2015,2001,1,12
ijcai,naacl,2015,2008,1,38
ijcai,naacl,2015,2009,1,50
