from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,nips,1993,1992,1,91
ijcai,nips,1995,1988,1,72
ijcai,nips,1995,1989,1,79
ijcai,nips,1995,1990,5,115
ijcai,nips,1995,1992,6,162
ijcai,nips,1995,1993,1,176
ijcai,nips,1995,1994,2,229
ijcai,nips,1996,1990,1,4
ijcai,nips,1997,1990,5,45
ijcai,nips,1997,1992,1,66
ijcai,nips,1997,1994,2,92
ijcai,nips,1997,1995,4,111
ijcai,nips,1997,1996,2,112
ijcai,nips,1999,1994,1,76
ijcai,nips,1999,1995,2,82
ijcai,nips,1999,1996,3,90
ijcai,nips,1999,1998,3,177
ijcai,nips,2001,1995,2,49
ijcai,nips,2001,1996,1,85
ijcai,nips,2001,1997,1,104
ijcai,nips,2001,1998,2,94
ijcai,nips,2001,1999,3,122
ijcai,nips,2001,2000,1,140
ijcai,nips,2003,1995,1,64
ijcai,nips,2003,1996,1,63
ijcai,nips,2003,1997,2,110
ijcai,nips,2003,1998,2,126
ijcai,nips,2003,1999,4,142
ijcai,nips,2003,2000,3,179
ijcai,nips,2003,2001,7,207
ijcai,nips,2003,2002,8,224
ijcai,nips,2005,1995,1,60
ijcai,nips,2005,1997,1,62
ijcai,nips,2005,1998,3,93
ijcai,nips,2005,1999,3,103
ijcai,nips,2005,2000,3,133
ijcai,nips,2005,2001,8,129
ijcai,nips,2005,2002,6,134
ijcai,nips,2005,2003,7,165
ijcai,nips,2005,2004,9,236
ijcai,nips,2007,1990,2,32
ijcai,nips,2007,1993,1,51
ijcai,nips,2007,1994,1,62
ijcai,nips,2007,1995,2,71
ijcai,nips,2007,1996,2,91
ijcai,nips,2007,1997,1,100
ijcai,nips,2007,1998,5,126
ijcai,nips,2007,1999,6,133
ijcai,nips,2007,2000,7,164
ijcai,nips,2007,2001,12,193
ijcai,nips,2007,2002,7,236
ijcai,nips,2007,2003,13,286
ijcai,nips,2007,2004,21,371
ijcai,nips,2007,2005,10,418
ijcai,nips,2007,2006,5,247
ijcai,nips,2008,1992,1,6
ijcai,nips,2008,1994,1,5
ijcai,nips,2008,1995,2,10
ijcai,nips,2008,2001,1,8
ijcai,nips,2008,2002,1,11
ijcai,nips,2008,2003,2,21
ijcai,nips,2008,2005,1,8
ijcai,nips,2008,2006,1,14
ijcai,nips,2009,1994,1,55
ijcai,nips,2009,1997,2,65
ijcai,nips,2009,1998,3,70
ijcai,nips,2009,1999,2,85
ijcai,nips,2009,2000,3,79
ijcai,nips,2009,2001,7,109
ijcai,nips,2009,2002,6,124
ijcai,nips,2009,2003,12,183
ijcai,nips,2009,2004,10,202
ijcai,nips,2009,2005,8,215
ijcai,nips,2009,2006,6,266
ijcai,nips,2009,2007,12,311
ijcai,nips,2009,2008,5,281
ijcai,nips,2010,2000,1,5
ijcai,nips,2010,2005,1,3
ijcai,nips,2011,1995,1,36
ijcai,nips,2011,1997,1,47
ijcai,nips,2011,2000,3,61
ijcai,nips,2011,2001,4,64
ijcai,nips,2011,2002,4,82
ijcai,nips,2011,2003,6,121
ijcai,nips,2011,2004,5,116
ijcai,nips,2011,2005,2,134
ijcai,nips,2011,2006,3,179
ijcai,nips,2011,2007,6,205
ijcai,nips,2011,2008,8,223
ijcai,nips,2011,2009,13,283
ijcai,nips,2011,2010,4,248
ijcai,nips,2012,2002,1,6
ijcai,nips,2013,1994,1,41
ijcai,nips,2013,1995,2,35
ijcai,nips,2013,1996,2,44
ijcai,nips,2013,1997,1,41
ijcai,nips,2013,1998,4,57
ijcai,nips,2013,1999,1,60
ijcai,nips,2013,2000,1,56
ijcai,nips,2013,2001,4,85
ijcai,nips,2013,2002,5,82
ijcai,nips,2013,2003,9,115
ijcai,nips,2013,2004,13,121
ijcai,nips,2013,2005,3,118
ijcai,nips,2013,2006,10,139
ijcai,nips,2013,2007,15,179
ijcai,nips,2013,2008,6,222
ijcai,nips,2013,2009,21,267
ijcai,nips,2013,2010,11,283
ijcai,nips,2013,2011,20,299
ijcai,nips,2013,2012,9,318
ijcai,nips,2014,2008,1,7
ijcai,nips,2015,2000,1,8
ijcai,nips,2015,2001,3,12
ijcai,nips,2015,2002,1,17
ijcai,nips,2015,2003,2,24
ijcai,nips,2015,2004,2,18
ijcai,nips,2015,2007,3,36
ijcai,nips,2015,2008,1,38
ijcai,nips,2015,2009,2,50
ijcai,nips,2015,2011,3,68
ijcai,nips,2015,2012,3,64
ijcai,nips,2015,2013,3,71
ijcai,nips,2015,2014,3,55
