from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcai,pricai,1997,1996,2,112
ijcai,pricai,1999,1997,1,123
ijcai,pricai,1999,1998,1,177
ijcai,pricai,2001,2000,1,140
ijcai,pricai,2003,2000,1,179
ijcai,pricai,2005,2002,1,134
ijcai,pricai,2005,2004,1,236
ijcai,pricai,2007,1992,1,40
ijcai,pricai,2007,2000,1,164
ijcai,pricai,2007,2004,2,371
ijcai,pricai,2007,2006,1,247
ijcai,pricai,2009,2002,1,124
ijcai,pricai,2009,2004,3,202
ijcai,pricai,2009,2006,1,266
ijcai,pricai,2011,2004,2,116
ijcai,pricai,2011,2006,1,179
ijcai,pricai,2011,2010,1,248
ijcai,pricai,2013,2004,2,121
ijcai,pricai,2013,2010,1,283
