from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcnn,ml,2006,1986,1,40
ijcnn,ml,2006,1988,1,48
ijcnn,ml,2006,1990,1,76
ijcnn,ml,2006,1991,3,99
ijcnn,ml,2006,1992,3,144
ijcnn,ml,2006,1993,1,143
ijcnn,ml,2006,1994,2,165
ijcnn,ml,2006,1995,2,188
ijcnn,ml,2006,1996,2,197
ijcnn,ml,2006,1997,1,266
ijcnn,ml,2006,1998,1,320
ijcnn,ml,2006,1999,1,327
ijcnn,ml,2006,2000,4,372
ijcnn,ml,2006,2001,4,425
ijcnn,ml,2006,2002,10,451
ijcnn,ml,2006,2003,5,471
ijcnn,ml,2006,2004,3,493
ijcnn,ml,2006,2005,2,489
