from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ijcnn,nips,2000,1990,1,2
ijcnn,nips,2000,1994,1,8
ijcnn,nips,2000,1995,1,6
ijcnn,nips,2000,1998,1,9
ijcnn,nips,2006,1988,2,48
ijcnn,nips,2006,1989,3,70
ijcnn,nips,2006,1990,10,76
ijcnn,nips,2006,1992,4,144
ijcnn,nips,2006,1993,1,143
ijcnn,nips,2006,1994,2,165
ijcnn,nips,2006,1995,10,188
ijcnn,nips,2006,1996,9,197
ijcnn,nips,2006,1997,10,266
ijcnn,nips,2006,1998,8,320
ijcnn,nips,2006,1999,9,327
ijcnn,nips,2006,2000,8,372
ijcnn,nips,2006,2001,11,425
ijcnn,nips,2006,2002,11,451
ijcnn,nips,2006,2003,14,471
ijcnn,nips,2006,2004,11,493
ijcnn,nips,2006,2005,4,489
