from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ilp,alt,1996,1990,1,9
ilp,alt,1996,1991,1,16
ilp,alt,1996,1995,1,20
ilp,alt,1997,1990,1,11
ilp,alt,1997,1991,1,14
ilp,alt,1997,1995,2,23
ilp,alt,1997,1996,2,27
ilp,alt,1998,1990,1,7
ilp,alt,1998,1995,1,16
ilp,alt,1998,1997,1,31
ilp,alt,1999,1991,1,7
ilp,alt,1999,1993,1,11
ilp,alt,1999,1995,2,16
ilp,alt,1999,1997,1,18
ilp,alt,1999,1998,1,31
ilp,alt,2000,1990,1,5
ilp,alt,2000,1991,1,6
ilp,alt,2000,1995,1,10
ilp,alt,2000,1997,1,20
ilp,alt,2000,1998,2,37
ilp,alt,2001,1990,1,3
ilp,alt,2001,1995,1,9
ilp,alt,2001,1996,1,18
ilp,alt,2001,1999,1,25
ilp,alt,2001,2000,1,23
ilp,alt,2002,1990,1,7
ilp,alt,2002,1996,1,18
ilp,alt,2002,1997,1,23
ilp,alt,2002,2001,1,19
ilp,alt,2003,1990,1,6
ilp,alt,2003,1995,1,10
ilp,alt,2003,1997,2,16
ilp,alt,2003,2000,1,24
ilp,alt,2003,2001,1,20
ilp,alt,2004,1990,1,6
ilp,alt,2004,1995,1,12
ilp,alt,2004,1998,1,10
ilp,alt,2005,1990,1,13
ilp,alt,2005,1997,1,33
ilp,alt,2005,2004,1,37
ilp,alt,2006,1996,1,8
ilp,alt,2007,1995,1,11
ilp,alt,2007,1996,1,13
ilp,alt,2008,1990,1,9
ilp,alt,2008,2004,1,35
ilp,alt,2008,2007,1,28
ilp,alt,2009,1990,1,3
ilp,alt,2009,1995,1,7
ilp,alt,2010,1990,2,4
ilp,alt,2010,1995,1,7
ilp,alt,2010,2009,1,28
ilp,alt,2011,1990,1,2
ilp,alt,2011,2000,1,12
ilp,alt,2012,1990,1,1
ilp,alt,2012,1996,1,9
ilp,alt,2012,1998,1,6
ilp,alt,2012,1999,1,7
ilp,alt,2012,2000,1,7
ilp,alt,2012,2003,1,12
