from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ilp,colt,1996,1988,1,8
ilp,colt,1996,1991,1,16
ilp,colt,1996,1992,1,19
ilp,colt,1996,1993,1,24
ilp,colt,1996,1994,3,23
ilp,colt,1997,1992,2,19
ilp,colt,1997,1994,1,18
ilp,colt,1998,1989,1,6
ilp,colt,1998,1992,2,15
ilp,colt,1998,1994,1,18
ilp,colt,1999,1992,1,7
ilp,colt,1999,1995,1,16
ilp,colt,1999,1997,1,18
ilp,colt,1999,1998,2,31
ilp,colt,2000,1992,1,14
ilp,colt,2000,1999,2,21
ilp,colt,2001,1998,1,19
ilp,colt,2002,1992,2,7
ilp,colt,2002,1998,1,18
ilp,colt,2002,1999,1,22
ilp,colt,2003,1997,1,16
ilp,colt,2003,1999,3,20
ilp,colt,2003,2002,1,26
ilp,colt,2004,1992,1,11
ilp,colt,2004,1993,1,12
ilp,colt,2004,1994,1,12
ilp,colt,2004,1999,1,17
ilp,colt,2005,1992,1,14
ilp,colt,2005,1999,1,31
ilp,colt,2005,2000,1,24
ilp,colt,2005,2001,2,39
ilp,colt,2005,2003,2,54
ilp,colt,2007,1992,1,11
ilp,colt,2007,1994,1,10
ilp,colt,2007,1998,1,18
ilp,colt,2007,2003,1,23
ilp,colt,2008,1991,1,12
ilp,colt,2008,1992,2,10
ilp,colt,2008,1994,1,12
ilp,colt,2009,2001,1,13
ilp,colt,2011,1994,1,7
ilp,colt,2012,1992,1,3
ilp,colt,2013,1994,1,2
