from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ilp,ecai,1996,1994,1,23
ilp,ecai,1997,1990,2,11
ilp,ecai,1997,1992,2,19
ilp,ecai,1997,1996,2,27
ilp,ecai,1998,1992,1,15
ilp,ecai,1998,1996,1,25
ilp,ecai,2000,1986,1,3
ilp,ecai,2000,1992,1,14
ilp,ecai,2000,1996,1,19
ilp,ecai,2000,1998,1,37
ilp,ecai,2001,1992,1,8
ilp,ecai,2001,1999,1,25
ilp,ecai,2002,1990,2,7
ilp,ecai,2002,1996,1,18
ilp,ecai,2003,1990,1,6
ilp,ecai,2003,1992,1,9
ilp,ecai,2003,2000,2,24
ilp,ecai,2003,2002,1,26
ilp,ecai,2004,1986,1,2
ilp,ecai,2004,1990,1,6
ilp,ecai,2004,2002,2,18
ilp,ecai,2005,1990,2,13
ilp,ecai,2005,2000,1,24
ilp,ecai,2005,2004,1,37
ilp,ecai,2006,2000,1,7
ilp,ecai,2006,2002,1,15
ilp,ecai,2007,1992,1,11
ilp,ecai,2007,2002,1,25
ilp,ecai,2009,2008,1,30
ilp,ecai,2010,2000,1,7
ilp,ecai,2010,2002,1,11
ilp,ecai,2011,1992,1,3
ilp,ecai,2011,2000,1,12
ilp,ecai,2011,2010,1,18
ilp,ecai,2012,2008,1,17
ilp,ecai,2012,2010,1,18
