from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ilp,icml,1991,1988,1,1
ilp,icml,1996,1988,1,8
ilp,icml,1996,1989,1,6
ilp,icml,1996,1990,1,9
ilp,icml,1996,1991,4,16
ilp,icml,1996,1992,4,19
ilp,icml,1996,1994,5,23
ilp,icml,1996,1995,2,20
ilp,icml,1997,1988,1,3
ilp,icml,1997,1989,1,6
ilp,icml,1997,1991,3,14
ilp,icml,1997,1992,2,19
ilp,icml,1997,1993,1,14
ilp,icml,1997,1994,2,18
ilp,icml,1997,1995,1,23
ilp,icml,1997,1996,4,27
ilp,icml,1998,1988,1,3
ilp,icml,1998,1989,2,6
ilp,icml,1998,1990,1,7
ilp,icml,1998,1991,1,4
ilp,icml,1998,1992,2,15
ilp,icml,1998,1993,1,10
ilp,icml,1998,1994,2,18
ilp,icml,1998,1995,3,16
ilp,icml,1998,1996,4,25
ilp,icml,1998,1997,1,31
ilp,icml,1999,1988,1,2
ilp,icml,1999,1989,1,3
ilp,icml,1999,1991,1,7
ilp,icml,1999,1993,1,11
ilp,icml,1999,1995,1,16
ilp,icml,1999,1996,1,11
ilp,icml,1999,1997,2,18
ilp,icml,1999,1998,3,31
ilp,icml,2000,1988,2,6
ilp,icml,2000,1989,1,2
ilp,icml,2000,1991,2,6
ilp,icml,2000,1992,1,14
ilp,icml,2000,1993,2,13
ilp,icml,2000,1994,2,13
ilp,icml,2000,1996,1,19
ilp,icml,2000,1998,4,37
ilp,icml,2001,1989,1,7
ilp,icml,2001,1994,1,8
ilp,icml,2001,1995,1,9
ilp,icml,2001,1996,1,18
ilp,icml,2001,1997,1,28
ilp,icml,2001,1998,3,19
ilp,icml,2001,2000,3,23
ilp,icml,2002,1988,2,2
ilp,icml,2002,1991,1,4
ilp,icml,2002,1992,1,7
ilp,icml,2002,1994,1,10
ilp,icml,2002,1996,2,18
ilp,icml,2002,1997,2,23
ilp,icml,2002,1998,3,18
ilp,icml,2002,2000,1,28
ilp,icml,2002,2001,1,19
ilp,icml,2003,1992,1,9
ilp,icml,2003,1994,1,6
ilp,icml,2003,1995,1,10
ilp,icml,2003,1996,1,15
ilp,icml,2003,1997,1,16
ilp,icml,2003,1998,1,14
ilp,icml,2003,2000,1,24
ilp,icml,2003,2001,1,20
ilp,icml,2003,2002,1,26
ilp,icml,2004,1988,1,5
ilp,icml,2004,1991,1,10
ilp,icml,2004,1992,2,11
ilp,icml,2004,1993,1,12
ilp,icml,2004,1994,3,12
ilp,icml,2004,1995,1,12
ilp,icml,2004,1996,2,11
ilp,icml,2004,2000,2,20
ilp,icml,2004,2001,2,24
ilp,icml,2004,2002,2,18
ilp,icml,2004,2003,4,32
ilp,icml,2005,1990,1,13
ilp,icml,2005,1991,1,9
ilp,icml,2005,1996,1,22
ilp,icml,2005,1997,3,33
ilp,icml,2005,1998,1,23
ilp,icml,2005,1999,1,31
ilp,icml,2005,2000,2,24
ilp,icml,2005,2001,1,39
ilp,icml,2005,2003,3,54
ilp,icml,2005,2004,3,37
ilp,icml,2006,1989,1,4
ilp,icml,2006,1994,2,7
ilp,icml,2006,1995,1,8
ilp,icml,2006,1996,1,8
ilp,icml,2006,2000,1,7
ilp,icml,2007,1989,1,4
ilp,icml,2007,1995,1,11
ilp,icml,2007,1996,1,13
ilp,icml,2007,1997,3,21
ilp,icml,2007,1998,2,18
ilp,icml,2007,2000,2,16
ilp,icml,2007,2001,3,23
ilp,icml,2007,2002,3,25
ilp,icml,2007,2003,3,23
ilp,icml,2007,2004,2,34
ilp,icml,2007,2005,3,31
ilp,icml,2007,2006,3,26
ilp,icml,2008,1992,1,10
ilp,icml,2008,1995,1,10
ilp,icml,2008,1999,1,23
ilp,icml,2008,2000,3,20
ilp,icml,2008,2001,3,36
ilp,icml,2008,2002,1,21
ilp,icml,2008,2003,4,28
ilp,icml,2008,2004,4,35
ilp,icml,2008,2005,5,33
ilp,icml,2008,2006,1,31
ilp,icml,2008,2007,2,28
ilp,icml,2009,1988,1,3
ilp,icml,2009,1996,1,9
ilp,icml,2009,1997,2,9
ilp,icml,2009,1998,1,4
ilp,icml,2009,2001,1,13
ilp,icml,2009,2003,1,16
ilp,icml,2009,2005,2,18
ilp,icml,2009,2006,2,31
ilp,icml,2009,2007,2,24
ilp,icml,2009,2008,2,30
ilp,icml,2010,1988,1,2
ilp,icml,2010,1992,1,6
ilp,icml,2010,1993,1,4
ilp,icml,2010,1994,1,8
ilp,icml,2010,1995,3,7
ilp,icml,2010,2002,1,11
ilp,icml,2010,2003,1,19
ilp,icml,2010,2007,1,16
ilp,icml,2010,2008,1,25
ilp,icml,2011,1987,1,3
ilp,icml,2011,1988,1,2
ilp,icml,2011,1991,1,3
ilp,icml,2011,1993,1,6
ilp,icml,2011,1995,4,11
ilp,icml,2011,1996,2,9
ilp,icml,2011,2004,1,11
ilp,icml,2011,2005,1,16
ilp,icml,2011,2006,1,14
ilp,icml,2011,2007,2,20
ilp,icml,2011,2008,1,25
ilp,icml,2011,2009,2,24
ilp,icml,2011,2010,3,18
ilp,icml,2012,1988,1,1
ilp,icml,2012,1993,1,1
ilp,icml,2012,1994,1,6
ilp,icml,2012,2004,1,8
ilp,icml,2012,2005,1,6
ilp,icml,2012,2008,1,17
ilp,icml,2012,2009,1,21
ilp,icml,2012,2010,1,18
ilp,icml,2012,2011,1,25
ilp,icml,2013,2000,1,3
ilp,icml,2013,2004,1,3
ilp,icml,2013,2005,1,4
ilp,icml,2013,2006,1,4
ilp,icml,2013,2008,1,9
