from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ilp,ijcai,1996,1981,2,3
ilp,ijcai,1996,1983,1,2
ilp,ijcai,1996,1989,1,6
ilp,ijcai,1996,1991,1,16
ilp,ijcai,1996,1993,8,24
ilp,ijcai,1997,1981,1,3
ilp,ijcai,1997,1987,1,5
ilp,ijcai,1997,1991,2,14
ilp,ijcai,1997,1993,5,14
ilp,ijcai,1997,1995,2,23
ilp,ijcai,1998,1987,1,3
ilp,ijcai,1998,1991,1,4
ilp,ijcai,1998,1997,5,31
ilp,ijcai,1999,1987,1,1
ilp,ijcai,1999,1993,1,11
ilp,ijcai,1999,1995,3,16
ilp,ijcai,1999,1997,2,18
ilp,ijcai,2000,1987,1,3
ilp,ijcai,2000,1993,2,13
ilp,ijcai,2000,1995,1,10
ilp,ijcai,2000,1997,4,20
ilp,ijcai,2000,1999,3,21
ilp,ijcai,2001,1991,1,2
ilp,ijcai,2001,1993,3,8
ilp,ijcai,2001,1995,1,9
ilp,ijcai,2001,1997,3,28
ilp,ijcai,2001,1999,2,25
ilp,ijcai,2002,1981,2,2
ilp,ijcai,2002,1983,1,1
ilp,ijcai,2002,1985,1,1
ilp,ijcai,2002,1989,2,7
ilp,ijcai,2002,1993,2,13
ilp,ijcai,2002,1997,3,23
ilp,ijcai,2002,1999,2,22
ilp,ijcai,2002,2001,2,19
ilp,ijcai,2003,1981,1,1
ilp,ijcai,2003,1995,1,10
ilp,ijcai,2003,1999,1,20
ilp,ijcai,2004,1989,1,4
ilp,ijcai,2004,1991,2,10
ilp,ijcai,2004,1993,2,12
ilp,ijcai,2004,1997,3,20
ilp,ijcai,2004,2001,2,24
ilp,ijcai,2004,2003,1,32
ilp,ijcai,2005,1989,2,14
ilp,ijcai,2005,1991,2,9
ilp,ijcai,2005,1995,3,17
ilp,ijcai,2005,1997,5,33
ilp,ijcai,2005,1999,2,31
ilp,ijcai,2005,2001,4,39
ilp,ijcai,2005,2003,4,54
ilp,ijcai,2006,1981,1,1
ilp,ijcai,2006,1997,2,15
ilp,ijcai,2006,2001,2,11
ilp,ijcai,2007,1981,1,2
ilp,ijcai,2007,1987,1,4
ilp,ijcai,2007,1989,1,4
ilp,ijcai,2007,1991,1,1
ilp,ijcai,2007,1993,1,3
ilp,ijcai,2007,1997,1,21
ilp,ijcai,2007,1999,1,19
ilp,ijcai,2007,2001,2,23
ilp,ijcai,2007,2003,1,23
ilp,ijcai,2007,2005,4,31
ilp,ijcai,2008,1976,1,1
ilp,ijcai,2008,1981,1,3
ilp,ijcai,2008,1989,2,7
ilp,ijcai,2008,1991,3,12
ilp,ijcai,2008,1993,1,8
ilp,ijcai,2008,1995,1,10
ilp,ijcai,2008,1997,3,32
ilp,ijcai,2008,1999,3,23
ilp,ijcai,2008,2001,5,36
ilp,ijcai,2008,2003,1,28
ilp,ijcai,2008,2005,4,33
ilp,ijcai,2008,2006,1,31
ilp,ijcai,2008,2007,5,28
ilp,ijcai,2009,1987,1,2
ilp,ijcai,2009,1993,2,3
ilp,ijcai,2009,2001,1,13
ilp,ijcai,2009,2003,3,16
ilp,ijcai,2009,2005,2,18
ilp,ijcai,2009,2006,1,31
ilp,ijcai,2009,2007,2,24
ilp,ijcai,2010,1987,1,2
ilp,ijcai,2010,1997,3,8
ilp,ijcai,2010,2001,1,4
ilp,ijcai,2010,2003,1,19
ilp,ijcai,2010,2005,1,8
ilp,ijcai,2010,2007,2,16
ilp,ijcai,2010,2009,4,28
ilp,ijcai,2011,1993,1,6
ilp,ijcai,2011,1999,1,9
ilp,ijcai,2011,2001,1,18
ilp,ijcai,2011,2003,1,17
ilp,ijcai,2011,2005,1,16
ilp,ijcai,2011,2007,4,20
ilp,ijcai,2011,2009,3,24
ilp,ijcai,2012,1997,2,10
ilp,ijcai,2012,2001,2,9
ilp,ijcai,2012,2003,2,12
ilp,ijcai,2012,2005,2,6
ilp,ijcai,2012,2007,1,17
ilp,ijcai,2012,2011,2,25
ilp,ijcai,2013,2001,1,9
ilp,ijcai,2013,2003,1,6
ilp,ijcai,2013,2007,4,5
ilp,ijcai,2013,2009,1,10
ilp,ijcai,2013,2011,3,12
