from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ilp,ilp,1996,1991,1,16
ilp,ilp,1996,1992,4,19
ilp,ilp,1996,1993,3,24
ilp,ilp,1996,1994,4,23
ilp,ilp,1996,1995,2,20
ilp,ilp,1997,1991,1,14
ilp,ilp,1997,1992,3,19
ilp,ilp,1997,1994,1,18
ilp,ilp,1997,1995,3,23
ilp,ilp,1997,1996,4,27
ilp,ilp,1998,1992,5,15
ilp,ilp,1998,1993,2,10
ilp,ilp,1998,1994,1,18
ilp,ilp,1998,1995,1,16
ilp,ilp,1998,1996,5,25
ilp,ilp,1998,1997,11,31
ilp,ilp,1999,1992,2,7
ilp,ilp,1999,1993,1,11
ilp,ilp,1999,1994,1,14
ilp,ilp,1999,1995,1,16
ilp,ilp,1999,1996,2,11
ilp,ilp,1999,1997,4,18
ilp,ilp,1999,1998,14,31
ilp,ilp,2000,1992,2,14
ilp,ilp,2000,1993,2,13
ilp,ilp,2000,1995,1,10
ilp,ilp,2000,1996,3,19
ilp,ilp,2000,1997,8,20
ilp,ilp,2000,1998,12,37
ilp,ilp,2000,1999,4,21
ilp,ilp,2001,1995,1,9
ilp,ilp,2001,1996,6,18
ilp,ilp,2001,1997,6,28
ilp,ilp,2001,1998,5,19
ilp,ilp,2001,1999,7,25
ilp,ilp,2001,2000,8,23
ilp,ilp,2002,1991,1,4
ilp,ilp,2002,1992,1,7
ilp,ilp,2002,1993,1,13
ilp,ilp,2002,1994,1,10
ilp,ilp,2002,1995,1,16
ilp,ilp,2002,1996,3,18
ilp,ilp,2002,1997,5,23
ilp,ilp,2002,1998,4,18
ilp,ilp,2002,1999,3,22
ilp,ilp,2002,2000,5,28
ilp,ilp,2002,2001,6,19
ilp,ilp,2003,1992,1,9
ilp,ilp,2003,1996,3,15
ilp,ilp,2003,1997,7,16
ilp,ilp,2003,1998,5,14
ilp,ilp,2003,1999,5,20
ilp,ilp,2003,2000,10,24
ilp,ilp,2003,2001,4,20
ilp,ilp,2003,2002,8,26
ilp,ilp,2004,1993,2,12
ilp,ilp,2004,1994,1,12
ilp,ilp,2004,1995,3,12
ilp,ilp,2004,1996,1,11
ilp,ilp,2004,1997,7,20
ilp,ilp,2004,1998,4,10
ilp,ilp,2004,1999,5,17
ilp,ilp,2004,2000,4,20
ilp,ilp,2004,2001,6,24
ilp,ilp,2004,2002,7,18
ilp,ilp,2004,2003,8,32
ilp,ilp,2005,1992,2,14
ilp,ilp,2005,1994,1,20
ilp,ilp,2005,1995,1,17
ilp,ilp,2005,1996,1,22
ilp,ilp,2005,1997,5,33
ilp,ilp,2005,1998,4,23
ilp,ilp,2005,1999,2,31
ilp,ilp,2005,2000,2,24
ilp,ilp,2005,2001,5,39
ilp,ilp,2005,2002,8,30
ilp,ilp,2005,2003,8,54
ilp,ilp,2005,2004,11,37
ilp,ilp,2006,1995,1,8
ilp,ilp,2006,1996,2,8
ilp,ilp,2006,1997,5,15
ilp,ilp,2006,1998,2,12
ilp,ilp,2006,1999,3,14
ilp,ilp,2006,2002,2,15
ilp,ilp,2006,2003,3,17
ilp,ilp,2006,2004,2,19
ilp,ilp,2006,2005,3,8
ilp,ilp,2007,1994,1,10
ilp,ilp,2007,1995,1,11
ilp,ilp,2007,1996,4,13
ilp,ilp,2007,1997,8,21
ilp,ilp,2007,1998,4,18
ilp,ilp,2007,1999,3,19
ilp,ilp,2007,2000,1,16
ilp,ilp,2007,2001,1,23
ilp,ilp,2007,2002,4,25
ilp,ilp,2007,2003,4,23
ilp,ilp,2007,2004,5,34
ilp,ilp,2007,2005,2,31
ilp,ilp,2008,1993,1,8
ilp,ilp,2008,1994,1,12
ilp,ilp,2008,1996,3,20
ilp,ilp,2008,1997,9,32
ilp,ilp,2008,1998,3,15
ilp,ilp,2008,1999,5,23
ilp,ilp,2008,2000,4,20
ilp,ilp,2008,2001,3,36
ilp,ilp,2008,2002,3,21
ilp,ilp,2008,2003,3,28
ilp,ilp,2008,2004,6,35
ilp,ilp,2008,2005,4,33
ilp,ilp,2008,2006,3,31
ilp,ilp,2008,2007,9,28
ilp,ilp,2009,1996,2,9
ilp,ilp,2009,1997,3,9
ilp,ilp,2009,1999,1,8
ilp,ilp,2009,2000,2,12
ilp,ilp,2009,2001,1,13
ilp,ilp,2009,2002,1,11
ilp,ilp,2009,2003,2,16
ilp,ilp,2009,2004,1,14
ilp,ilp,2009,2005,1,18
ilp,ilp,2009,2007,7,24
ilp,ilp,2009,2008,6,30
ilp,ilp,2010,1992,1,6
ilp,ilp,2010,1994,1,8
ilp,ilp,2010,1995,1,7
ilp,ilp,2010,1996,1,2
ilp,ilp,2010,1997,3,8
ilp,ilp,2010,1998,3,5
ilp,ilp,2010,1999,1,10
ilp,ilp,2010,2000,1,7
ilp,ilp,2010,2002,1,11
ilp,ilp,2010,2003,1,19
ilp,ilp,2010,2004,1,11
ilp,ilp,2010,2005,2,8
ilp,ilp,2010,2006,1,15
ilp,ilp,2010,2008,4,25
ilp,ilp,2010,2009,4,28
ilp,ilp,2011,1997,6,9
ilp,ilp,2011,1998,1,7
ilp,ilp,2011,1999,2,9
ilp,ilp,2011,2000,2,12
ilp,ilp,2011,2001,3,18
ilp,ilp,2011,2002,2,11
ilp,ilp,2011,2003,1,17
ilp,ilp,2011,2005,1,16
ilp,ilp,2011,2007,4,20
ilp,ilp,2011,2008,4,25
ilp,ilp,2011,2009,2,24
ilp,ilp,2011,2010,1,18
ilp,ilp,2012,1994,1,6
ilp,ilp,2012,1996,1,9
ilp,ilp,2012,1997,5,10
ilp,ilp,2012,1998,2,6
ilp,ilp,2012,2000,1,7
ilp,ilp,2012,2001,1,9
ilp,ilp,2012,2003,1,12
ilp,ilp,2012,2004,1,8
ilp,ilp,2012,2006,1,11
ilp,ilp,2012,2007,3,17
ilp,ilp,2012,2008,5,17
ilp,ilp,2012,2009,4,21
ilp,ilp,2012,2010,3,18
ilp,ilp,2012,2011,3,25
ilp,ilp,2013,1996,1,2
ilp,ilp,2013,1997,1,2
ilp,ilp,2013,1999,1,5
ilp,ilp,2013,2000,1,3
ilp,ilp,2013,2001,1,9
ilp,ilp,2013,2002,2,4
ilp,ilp,2013,2005,1,4
ilp,ilp,2013,2008,2,9
ilp,ilp,2013,2009,1,10
ilp,ilp,2013,2011,1,12
