from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ilp,kr,1999,1992,1,7
ilp,kr,2000,1994,1,13
ilp,kr,2001,1989,1,7
ilp,kr,2002,1989,1,7
ilp,kr,2002,2000,1,28
ilp,kr,2003,1989,1,3
ilp,kr,2004,1989,1,4
ilp,kr,2004,2000,1,20
ilp,kr,2005,1989,1,14
ilp,kr,2005,2000,1,24
ilp,kr,2005,2002,1,30
ilp,kr,2007,1994,1,10
ilp,kr,2008,1998,1,15
ilp,kr,2008,2001,1,36
ilp,kr,2008,2006,1,31
ilp,kr,2009,2004,1,14
ilp,kr,2009,2006,1,31
ilp,kr,2011,1992,1,3
ilp,kr,2011,2002,1,11
ilp,kr,2012,1994,1,6
