from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ilp,ml,1991,1990,1,1
ilp,ml,1996,1986,2,4
ilp,ml,1996,1988,2,8
ilp,ml,1996,1989,3,6
ilp,ml,1996,1990,2,9
ilp,ml,1996,1991,1,16
ilp,ml,1996,1992,1,19
ilp,ml,1996,1994,1,23
ilp,ml,1997,1986,2,3
ilp,ml,1997,1987,1,5
ilp,ml,1997,1988,1,3
ilp,ml,1997,1989,3,6
ilp,ml,1997,1990,2,11
ilp,ml,1997,1991,1,14
ilp,ml,1997,1992,1,19
ilp,ml,1997,1994,1,18
ilp,ml,1997,1995,1,23
ilp,ml,1998,1986,1,2
ilp,ml,1998,1988,1,3
ilp,ml,1998,1990,1,7
ilp,ml,1998,1993,4,10
ilp,ml,1998,1994,2,18
ilp,ml,1998,1995,1,16
ilp,ml,1998,1997,3,31
ilp,ml,1999,1986,1,1
ilp,ml,1999,1989,1,3
ilp,ml,1999,1990,2,7
ilp,ml,1999,1991,1,7
ilp,ml,1999,1994,2,14
ilp,ml,1999,1995,1,16
ilp,ml,1999,1997,2,18
ilp,ml,2000,1986,1,3
ilp,ml,2000,1990,2,5
ilp,ml,2000,1992,1,14
ilp,ml,2000,1993,1,13
ilp,ml,2000,1994,3,13
ilp,ml,2000,1995,1,10
ilp,ml,2001,1986,1,2
ilp,ml,2001,1987,1,1
ilp,ml,2001,1989,2,7
ilp,ml,2001,1990,1,3
ilp,ml,2001,1992,1,8
ilp,ml,2001,1994,1,8
ilp,ml,2001,1997,1,28
ilp,ml,2001,2000,2,23
ilp,ml,2002,1987,2,3
ilp,ml,2002,1989,2,7
ilp,ml,2002,1990,1,7
ilp,ml,2002,1993,2,13
ilp,ml,2002,1994,2,10
ilp,ml,2002,1995,1,16
ilp,ml,2002,1997,2,23
ilp,ml,2002,2000,5,28
ilp,ml,2002,2001,4,19
ilp,ml,2003,1988,1,4
ilp,ml,2003,1989,1,3
ilp,ml,2003,1990,1,6
ilp,ml,2003,1992,2,9
ilp,ml,2003,1994,1,6
ilp,ml,2003,1995,1,10
ilp,ml,2003,2000,1,24
ilp,ml,2003,2001,1,20
ilp,ml,2003,2002,1,26
ilp,ml,2004,1986,1,2
ilp,ml,2004,1989,1,4
ilp,ml,2004,1990,1,6
ilp,ml,2004,1991,1,10
ilp,ml,2004,1992,3,11
ilp,ml,2004,1993,1,12
ilp,ml,2004,1994,1,12
ilp,ml,2004,1999,1,17
ilp,ml,2004,2000,2,20
ilp,ml,2004,2001,4,24
ilp,ml,2005,1989,3,14
ilp,ml,2005,1990,1,13
ilp,ml,2005,1991,2,9
ilp,ml,2005,1992,4,14
ilp,ml,2005,1994,1,20
ilp,ml,2005,1995,1,17
ilp,ml,2005,1997,3,33
ilp,ml,2005,1999,2,31
ilp,ml,2005,2001,5,39
ilp,ml,2005,2003,1,54
ilp,ml,2005,2004,2,37
ilp,ml,2006,1987,3,4
ilp,ml,2006,1989,3,4
ilp,ml,2006,1990,1,3
ilp,ml,2006,1994,1,7
ilp,ml,2006,1998,1,12
ilp,ml,2006,2000,1,7
ilp,ml,2006,2001,1,11
ilp,ml,2006,2004,3,19
ilp,ml,2007,1986,2,4
ilp,ml,2007,1988,1,2
ilp,ml,2007,1989,1,4
ilp,ml,2007,1990,1,3
ilp,ml,2007,1992,1,11
ilp,ml,2007,1994,1,10
ilp,ml,2007,1995,3,11
ilp,ml,2007,1997,2,21
ilp,ml,2007,1998,1,18
ilp,ml,2007,1999,3,19
ilp,ml,2007,2000,1,16
ilp,ml,2007,2001,4,23
ilp,ml,2007,2002,1,25
ilp,ml,2007,2004,4,34
ilp,ml,2007,2006,7,26
ilp,ml,2008,1986,2,4
ilp,ml,2008,1989,1,7
ilp,ml,2008,1990,1,9
ilp,ml,2008,1993,1,8
ilp,ml,2008,1994,1,12
ilp,ml,2008,1995,2,10
ilp,ml,2008,1996,1,20
ilp,ml,2008,1997,4,32
ilp,ml,2008,1998,1,15
ilp,ml,2008,2000,2,20
ilp,ml,2008,2001,4,36
ilp,ml,2008,2004,2,35
ilp,ml,2008,2005,2,33
ilp,ml,2008,2006,3,31
ilp,ml,2009,1986,1,1
ilp,ml,2009,1990,1,3
ilp,ml,2009,1995,1,7
ilp,ml,2009,1999,1,8
ilp,ml,2009,2001,1,13
ilp,ml,2009,2004,2,14
ilp,ml,2009,2006,4,31
ilp,ml,2010,1989,1,1
ilp,ml,2010,1990,1,4
ilp,ml,2010,1992,1,6
ilp,ml,2010,1993,1,4
ilp,ml,2010,1994,1,8
ilp,ml,2010,1995,1,7
ilp,ml,2010,1999,1,10
ilp,ml,2010,2000,2,7
ilp,ml,2010,2004,3,11
ilp,ml,2010,2005,1,8
ilp,ml,2010,2006,3,15
ilp,ml,2010,2008,2,25
ilp,ml,2011,1993,1,6
ilp,ml,2011,1994,1,7
ilp,ml,2011,1995,1,11
ilp,ml,2011,2001,5,18
ilp,ml,2011,2002,1,11
ilp,ml,2011,2003,1,17
ilp,ml,2011,2004,3,11
ilp,ml,2011,2006,4,14
ilp,ml,2011,2008,2,25
ilp,ml,2011,2009,1,24
ilp,ml,2011,2010,2,18
ilp,ml,2012,1994,2,6
ilp,ml,2012,2000,1,7
ilp,ml,2012,2001,1,9
ilp,ml,2012,2004,3,8
ilp,ml,2012,2006,2,11
ilp,ml,2012,2009,4,21
ilp,ml,2012,2010,1,18
ilp,ml,2012,2011,2,25
ilp,ml,2013,1990,1,1
ilp,ml,2013,2001,1,9
ilp,ml,2013,2004,1,3
ilp,ml,2013,2008,1,9
ilp,ml,2013,2009,2,10
ilp,ml,2013,2012,2,4
