from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ilp,nips,1999,1998,1,31
ilp,nips,2000,1998,1,37
ilp,nips,2000,1999,1,21
ilp,nips,2002,1995,1,16
ilp,nips,2003,2001,1,20
ilp,nips,2004,1995,3,12
ilp,nips,2004,1996,2,11
ilp,nips,2004,1999,1,17
ilp,nips,2004,2001,1,24
ilp,nips,2004,2003,1,32
ilp,nips,2005,1992,1,14
ilp,nips,2005,1995,2,17
ilp,nips,2005,1996,1,22
ilp,nips,2005,1998,1,23
ilp,nips,2005,1999,1,31
ilp,nips,2005,2000,1,24
ilp,nips,2005,2001,3,39
ilp,nips,2005,2003,3,54
ilp,nips,2006,2001,1,11
ilp,nips,2007,1990,1,3
ilp,nips,2007,1998,1,18
ilp,nips,2007,1999,2,19
ilp,nips,2007,2001,2,23
ilp,nips,2007,2002,1,25
ilp,nips,2007,2003,1,23
ilp,nips,2007,2004,2,34
ilp,nips,2007,2005,2,31
ilp,nips,2008,1990,1,9
ilp,nips,2008,1998,1,15
ilp,nips,2008,1999,1,23
ilp,nips,2008,2000,1,20
ilp,nips,2008,2001,1,36
ilp,nips,2008,2002,1,21
ilp,nips,2008,2003,1,28
ilp,nips,2009,1999,1,8
ilp,nips,2009,2004,1,14
ilp,nips,2011,1999,1,9
ilp,nips,2011,2000,1,12
ilp,nips,2011,2005,1,16
ilp,nips,2011,2006,1,14
ilp,nips,2011,2009,1,24
ilp,nips,2012,2003,1,12
ilp,nips,2012,2006,1,11
ilp,nips,2012,2007,1,17
ilp,nips,2012,2010,1,18
ilp,nips,2013,2010,1,3
ilp,nips,2013,2011,1,12
