from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ilp,uai,2000,1999,1,21
ilp,uai,2001,1997,1,28
ilp,uai,2002,1997,1,23
ilp,uai,2002,1999,2,22
ilp,uai,2003,1997,1,16
ilp,uai,2004,1998,1,10
ilp,uai,2004,2000,1,20
ilp,uai,2004,2002,2,18
ilp,uai,2005,1989,1,14
ilp,uai,2005,1993,1,4
ilp,uai,2005,1994,1,20
ilp,uai,2005,1996,1,22
ilp,uai,2005,1997,2,33
ilp,uai,2005,1998,2,23
ilp,uai,2005,1999,1,31
ilp,uai,2005,2000,1,24
ilp,uai,2005,2002,3,30
ilp,uai,2006,1999,1,14
ilp,uai,2007,2002,1,25
ilp,uai,2008,1990,1,9
ilp,uai,2008,1994,1,12
ilp,uai,2008,1996,2,20
ilp,uai,2008,1997,2,32
ilp,uai,2008,2000,1,20
ilp,uai,2008,2002,2,21
ilp,uai,2008,2004,1,35
ilp,uai,2008,2005,2,33
ilp,uai,2008,2006,1,31
ilp,uai,2008,2007,1,28
ilp,uai,2009,1996,1,9
ilp,uai,2009,1998,1,4
ilp,uai,2011,1988,1,2
ilp,uai,2011,1998,1,7
ilp,uai,2012,1996,1,9
ilp,uai,2012,1999,1,7
ilp,uai,2012,2002,2,3
ilp,uai,2012,2005,1,6
ilp,uai,2012,2009,1,21
ilp,uai,2012,2010,1,18
ilp,uai,2013,2002,1,4
ilp,uai,2013,2012,1,4
