from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
kr,aaai,1989,1984,1,3
kr,aaai,1989,1986,1,2
kr,aaai,1989,1987,1,11
kr,aaai,1989,1988,2,3
kr,aaai,1991,1990,1,2
kr,aaai,1992,1988,1,2
kr,aaai,1992,1990,1,3
kr,aaai,1992,1991,1,4
kr,aaai,1993,1987,1,7
kr,aaai,1993,1988,1,5
kr,aaai,1994,1983,1,8
kr,aaai,1994,1990,5,37
kr,aaai,1994,1991,2,45
kr,aaai,1994,1992,1,40
kr,aaai,1994,1993,2,22
kr,aaai,1996,1987,1,1
kr,aaai,1996,1991,2,11
kr,aaai,1996,1992,3,6
kr,aaai,1996,1993,1,7
kr,aaai,1996,1994,2,10
kr,aaai,1998,1986,1,3
kr,aaai,1998,1994,2,5
kr,aaai,1998,1996,1,11
kr,aaai,1998,1997,2,7
kr,aaai,1999,1991,1,4
kr,aaai,1999,1992,1,2
kr,aaai,1999,1997,1,2
kr,aaai,2000,1988,1,4
kr,aaai,2000,1990,1,2
kr,aaai,2000,1992,1,5
kr,aaai,2000,1993,1,6
kr,aaai,2000,1994,2,5
kr,aaai,2000,1996,1,11
kr,aaai,2000,1997,1,11
kr,aaai,2000,1998,1,13
kr,aaai,2000,1999,1,11
kr,aaai,2002,1992,1,9
kr,aaai,2002,1993,1,4
kr,aaai,2002,1997,1,5
kr,aaai,2004,1986,1,5
kr,aaai,2004,1987,1,7
kr,aaai,2004,1988,2,5
kr,aaai,2004,1990,1,10
kr,aaai,2004,1991,1,17
kr,aaai,2004,1993,1,9
kr,aaai,2004,1994,2,14
kr,aaai,2004,1996,1,21
kr,aaai,2004,1997,4,21
kr,aaai,2004,1998,3,24
kr,aaai,2004,1999,2,38
kr,aaai,2004,2000,2,42
kr,aaai,2004,2002,3,38
kr,aaai,2006,1983,1,1
kr,aaai,2006,1987,1,5
kr,aaai,2006,1991,2,17
kr,aaai,2006,1994,1,16
kr,aaai,2006,1996,7,22
kr,aaai,2006,1997,4,18
kr,aaai,2006,1998,2,17
kr,aaai,2006,2000,1,16
kr,aaai,2006,2002,2,26
kr,aaai,2006,2004,3,43
kr,aaai,2006,2005,6,35
kr,aaai,2008,1986,1,4
kr,aaai,2008,1987,2,6
kr,aaai,2008,1988,1,9
kr,aaai,2008,1990,1,5
kr,aaai,2008,1991,2,15
kr,aaai,2008,1992,1,14
kr,aaai,2008,1994,1,11
kr,aaai,2008,1996,2,13
kr,aaai,2008,1997,3,20
kr,aaai,2008,2000,1,14
kr,aaai,2008,2002,6,29
kr,aaai,2008,2004,1,24
kr,aaai,2008,2005,7,48
kr,aaai,2008,2006,3,42
kr,aaai,2008,2007,6,54
kr,aaai,2010,1984,1,7
kr,aaai,2010,1988,1,5
kr,aaai,2010,1996,1,7
kr,aaai,2010,2002,2,14
kr,aaai,2010,2004,2,26
kr,aaai,2010,2005,4,20
kr,aaai,2010,2006,3,34
kr,aaai,2010,2007,6,40
kr,aaai,2010,2008,4,42
kr,aaai,2011,2005,1,1
kr,aaai,2012,1986,1,3
kr,aaai,2012,1987,1,7
kr,aaai,2012,1988,1,6
kr,aaai,2012,1991,1,8
kr,aaai,2012,1993,1,6
kr,aaai,2012,1996,1,9
kr,aaai,2012,1997,1,5
kr,aaai,2012,1998,2,17
kr,aaai,2012,2000,1,12
kr,aaai,2012,2004,1,16
kr,aaai,2012,2006,2,24
kr,aaai,2012,2007,5,32
kr,aaai,2012,2008,1,33
kr,aaai,2012,2010,6,45
kr,aaai,2012,2011,4,50
kr,aaai,2013,2005,1,3
kr,aaai,2014,1986,1,3
kr,aaai,2014,1990,1,6
kr,aaai,2014,1991,1,6
kr,aaai,2014,1993,1,11
kr,aaai,2014,2005,1,19
kr,aaai,2014,2007,1,28
kr,aaai,2014,2008,4,30
kr,aaai,2014,2011,3,26
kr,aaai,2014,2012,1,23
