from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
kr,aamas,2004,2001,1,52
kr,aamas,2004,2003,3,37
kr,aamas,2006,2002,1,26
kr,aamas,2006,2003,2,30
kr,aamas,2006,2004,1,43
kr,aamas,2008,2002,1,29
kr,aamas,2008,2003,1,32
kr,aamas,2008,2004,1,24
kr,aamas,2008,2005,1,48
kr,aamas,2008,2007,2,54
kr,aamas,2010,2009,1,42
kr,aamas,2012,2002,1,13
kr,aamas,2012,2006,1,24
kr,aamas,2012,2008,1,33
kr,aamas,2012,2009,1,35
kr,aamas,2014,2005,1,19
kr,aamas,2014,2008,1,30
kr,aamas,2014,2012,1,23
kr,aamas,2015,2004,1,2
kr,aamas,2015,2007,1,3
