from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
kr,kr,1991,1989,1,3
kr,kr,1992,1991,1,4
kr,kr,1993,1989,1,1
kr,kr,1994,1989,2,20
kr,kr,1994,1991,1,45
kr,kr,1994,1992,4,40
kr,kr,1996,1989,1,4
kr,kr,1996,1991,1,11
kr,kr,1996,1992,2,6
kr,kr,1996,1994,2,10
kr,kr,1997,1989,1,1
kr,kr,1997,1992,1,3
kr,kr,1998,1992,2,5
kr,kr,1998,1994,1,5
kr,kr,1998,1996,2,11
kr,kr,1999,1996,1,2
kr,kr,2000,1991,2,6
kr,kr,2000,1994,1,5
kr,kr,2000,1996,4,11
kr,kr,2000,1998,3,13
kr,kr,2002,1992,3,9
kr,kr,2002,1996,1,10
kr,kr,2002,1998,4,10
kr,kr,2002,2000,4,13
kr,kr,2004,1989,1,6
kr,kr,2004,1991,2,17
kr,kr,2004,1992,5,15
kr,kr,2004,1994,3,14
kr,kr,2004,1996,1,21
kr,kr,2004,1998,7,24
kr,kr,2004,2000,11,42
kr,kr,2004,2002,12,38
kr,kr,2006,1989,1,5
kr,kr,2006,1991,2,17
kr,kr,2006,1992,5,13
kr,kr,2006,1994,2,16
kr,kr,2006,1996,4,22
kr,kr,2006,1998,5,17
kr,kr,2006,2000,4,16
kr,kr,2006,2002,4,26
kr,kr,2006,2004,7,43
kr,kr,2008,1989,2,9
kr,kr,2008,1991,1,15
kr,kr,2008,1992,4,14
kr,kr,2008,1994,1,11
kr,kr,2008,1996,2,13
kr,kr,2008,1997,1,20
kr,kr,2008,1998,1,17
kr,kr,2008,2002,2,29
kr,kr,2008,2004,5,24
kr,kr,2008,2006,4,42
kr,kr,2010,1991,1,10
kr,kr,2010,1992,1,8
kr,kr,2010,1994,2,11
kr,kr,2010,1998,1,12
kr,kr,2010,1999,1,14
kr,kr,2010,2000,2,14
kr,kr,2010,2002,1,14
kr,kr,2010,2004,5,26
kr,kr,2010,2006,10,34
kr,kr,2010,2008,9,42
kr,kr,2011,2010,1,3
kr,kr,2012,1992,4,8
kr,kr,2012,1994,2,7
kr,kr,2012,1998,2,17
kr,kr,2012,1999,1,15
kr,kr,2012,2002,1,13
kr,kr,2012,2006,6,24
kr,kr,2012,2008,6,33
kr,kr,2012,2010,9,45
kr,kr,2012,2011,1,50
kr,kr,2013,1992,2,4
kr,kr,2014,1989,1,2
kr,kr,2014,1992,2,8
kr,kr,2014,1996,2,8
kr,kr,2014,1998,1,4
kr,kr,2014,2000,2,8
kr,kr,2014,2002,3,13
kr,kr,2014,2004,1,13
kr,kr,2014,2006,2,16
kr,kr,2014,2008,3,30
kr,kr,2014,2010,6,27
kr,kr,2014,2012,6,23
