from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ksem,aaai,2006,1987,1,8
ksem,aaai,2006,1992,1,12
ksem,aaai,2006,1996,1,16
ksem,aaai,2006,1997,1,23
ksem,aaai,2006,2000,2,35
ksem,aaai,2006,2002,1,32
ksem,aaai,2006,2004,1,48
ksem,aaai,2007,1988,1,5
ksem,aaai,2007,1998,1,31
ksem,aaai,2007,1999,1,25
ksem,aaai,2007,2005,1,47
ksem,aaai,2007,2006,1,38
ksem,aaai,2009,1996,1,8
ksem,aaai,2009,2002,1,14
ksem,aaai,2009,2004,1,33
ksem,aaai,2009,2007,1,46
ksem,aaai,2010,1998,1,16
ksem,aaai,2010,2000,1,17
ksem,aaai,2010,2005,1,39
ksem,aaai,2010,2006,1,57
ksem,aaai,2010,2007,2,52
ksem,aaai,2010,2008,1,40
ksem,aaai,2011,1982,1,2
ksem,aaai,2012,2005,1,2
ksem,aaai,2013,1996,1,4
ksem,aaai,2013,2005,1,23
ksem,aaai,2013,2006,4,26
ksem,aaai,2013,2007,1,35
ksem,aaai,2013,2008,2,46
ksem,aaai,2013,2010,1,29
ksem,aaai,2014,1987,1,4
ksem,aaai,2014,2004,1,15
ksem,aaai,2014,2006,1,22
ksem,aaai,2014,2007,1,10
