from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ksem,acl,2006,2003,1,54
ksem,acl,2007,1985,1,2
ksem,acl,2007,1999,1,25
ksem,acl,2007,2002,1,29
ksem,acl,2007,2005,1,47
ksem,acl,2009,2002,1,14
ksem,acl,2009,2006,1,34
ksem,acl,2010,2002,1,24
ksem,acl,2011,1994,1,6
ksem,acl,2013,1996,1,4
ksem,acl,2013,2002,1,14
ksem,acl,2013,2007,1,35
ksem,acl,2013,2011,1,28
ksem,acl,2014,2002,1,15
ksem,acl,2014,2005,1,18
ksem,acl,2014,2008,1,22
ksem,acl,2014,2010,1,24
