from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ksem,coling,2006,2004,1,48
ksem,coling,2007,1992,1,9
ksem,coling,2007,2000,2,30
ksem,coling,2007,2004,1,35
ksem,coling,2009,2003,1,24
ksem,coling,2009,2004,1,33
ksem,coling,2010,1992,1,8
ksem,coling,2013,1992,1,3
ksem,coling,2013,2004,1,21
ksem,coling,2013,2006,1,26
ksem,coling,2013,2010,1,29
ksem,coling,2013,2012,1,23
ksem,coling,2014,1992,1,9
ksem,coling,2014,2004,1,15
ksem,coling,2014,2006,1,22
ksem,coling,2014,2008,1,22
ksem,coling,2014,2010,3,24
ksem,coling,2014,2012,2,20
