from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ksem,icml,2006,2002,1,32
ksem,icml,2007,1999,1,25
ksem,icml,2007,2001,1,24
ksem,icml,2007,2002,1,29
ksem,icml,2007,2004,1,35
ksem,icml,2007,2006,1,38
ksem,icml,2009,1998,1,15
ksem,icml,2009,1999,1,20
ksem,icml,2009,2001,1,24
ksem,icml,2009,2002,2,14
ksem,icml,2009,2003,1,24
ksem,icml,2010,1998,2,16
ksem,icml,2010,2001,1,22
ksem,icml,2010,2002,2,24
ksem,icml,2010,2004,1,40
ksem,icml,2010,2006,1,57
ksem,icml,2010,2007,1,52
ksem,icml,2011,1997,1,6
ksem,icml,2011,2003,1,18
ksem,icml,2011,2007,1,31
ksem,icml,2013,1997,1,11
ksem,icml,2013,2001,1,13
ksem,icml,2013,2004,2,21
ksem,icml,2013,2005,1,23
ksem,icml,2014,2006,1,22
