from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ksem,ijcai,2006,1987,1,8
ksem,ijcai,2006,1993,3,14
ksem,ijcai,2006,1995,1,16
ksem,ijcai,2006,1999,2,26
ksem,ijcai,2006,2001,1,39
ksem,ijcai,2006,2003,2,54
ksem,ijcai,2006,2005,1,49
ksem,ijcai,2007,1989,1,4
ksem,ijcai,2007,1991,1,11
ksem,ijcai,2007,1993,2,11
ksem,ijcai,2007,1997,1,17
ksem,ijcai,2007,2001,1,24
ksem,ijcai,2007,2003,2,45
ksem,ijcai,2009,1993,1,3
ksem,ijcai,2009,1995,1,12
ksem,ijcai,2009,2008,1,29
ksem,ijcai,2010,1993,1,3
ksem,ijcai,2010,1995,1,9
ksem,ijcai,2010,1999,1,9
ksem,ijcai,2010,2001,2,22
ksem,ijcai,2010,2003,3,28
ksem,ijcai,2010,2005,1,39
ksem,ijcai,2010,2007,3,52
ksem,ijcai,2011,1981,1,1
ksem,ijcai,2011,1999,1,7
ksem,ijcai,2011,2005,2,26
ksem,ijcai,2013,2001,1,13
ksem,ijcai,2013,2005,1,23
ksem,ijcai,2013,2011,2,28
ksem,ijcai,2014,2013,1,37
