from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ksem,ml,2006,2000,1,35
ksem,ml,2006,2004,1,48
ksem,ml,2007,1986,1,2
ksem,ml,2007,1988,1,5
ksem,ml,2007,1991,1,11
ksem,ml,2007,1993,1,11
ksem,ml,2007,1994,1,12
ksem,ml,2009,1986,1,3
ksem,ml,2009,2000,1,21
ksem,ml,2010,1986,1,1
ksem,ml,2010,1989,1,3
ksem,ml,2010,2000,1,17
ksem,ml,2010,2001,1,22
ksem,ml,2010,2002,1,24
ksem,ml,2010,2006,2,57
ksem,ml,2011,1995,1,10
ksem,ml,2011,1998,1,9
ksem,ml,2011,2000,1,13
ksem,ml,2011,2002,1,14
ksem,ml,2013,1986,1,1
ksem,ml,2013,2003,1,21
ksem,ml,2014,2004,1,15
