from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ml,aaai,1986,1980,1,4
ml,aaai,1986,1982,1,4
ml,aaai,1986,1983,3,21
ml,aaai,1986,1984,7,10
ml,aaai,1987,1983,1,6
ml,aaai,1987,1984,1,6
ml,aaai,1987,1986,4,12
ml,aaai,1988,1983,2,11
ml,aaai,1988,1986,8,20
ml,aaai,1988,1987,1,20
ml,aaai,1989,1982,1,3
ml,aaai,1989,1983,2,7
ml,aaai,1989,1985,1,17
ml,aaai,1989,1986,3,14
ml,aaai,1989,1987,6,48
ml,aaai,1989,1988,1,17
ml,aaai,1990,1982,1,9
ml,aaai,1990,1986,3,13
ml,aaai,1990,1987,4,19
ml,aaai,1990,1988,4,27
ml,aaai,1991,1983,1,6
ml,aaai,1991,1984,1,8
ml,aaai,1991,1986,2,19
ml,aaai,1991,1987,6,31
ml,aaai,1991,1988,1,34
ml,aaai,1991,1990,5,27
ml,aaai,1992,1983,1,9
ml,aaai,1992,1986,2,12
ml,aaai,1992,1987,3,14
ml,aaai,1992,1988,2,28
ml,aaai,1992,1990,6,43
ml,aaai,1992,1991,1,21
ml,aaai,1993,1980,1,3
ml,aaai,1993,1983,2,12
ml,aaai,1993,1986,9,27
ml,aaai,1993,1987,3,33
ml,aaai,1993,1988,8,45
ml,aaai,1993,1989,1,57
ml,aaai,1993,1990,16,72
ml,aaai,1993,1991,5,49
ml,aaai,1993,1992,3,21
ml,aaai,1994,1980,1,6
ml,aaai,1994,1986,4,11
ml,aaai,1994,1987,4,31
ml,aaai,1994,1988,2,22
ml,aaai,1994,1990,9,42
ml,aaai,1994,1991,2,50
ml,aaai,1994,1992,3,45
ml,aaai,1994,1993,3,19
ml,aaai,1995,1984,1,4
ml,aaai,1995,1986,1,8
ml,aaai,1995,1987,2,23
ml,aaai,1995,1990,4,42
ml,aaai,1995,1991,2,46
ml,aaai,1995,1992,5,72
ml,aaai,1995,1993,2,53
ml,aaai,1996,1982,1,5
ml,aaai,1996,1984,1,6
ml,aaai,1996,1986,3,17
ml,aaai,1996,1987,3,24
ml,aaai,1996,1988,1,26
ml,aaai,1996,1990,3,53
ml,aaai,1996,1991,3,51
ml,aaai,1996,1992,5,69
ml,aaai,1996,1993,3,72
ml,aaai,1996,1994,6,64
ml,aaai,1997,1986,1,10
ml,aaai,1997,1987,2,9
ml,aaai,1997,1988,1,18
ml,aaai,1997,1990,3,35
ml,aaai,1997,1991,1,31
ml,aaai,1997,1992,4,43
ml,aaai,1997,1996,3,34
ml,aaai,1998,1984,1,8
ml,aaai,1998,1987,1,15
ml,aaai,1998,1988,2,9
ml,aaai,1998,1990,1,16
ml,aaai,1998,1991,1,29
ml,aaai,1998,1992,3,49
ml,aaai,1998,1994,2,49
ml,aaai,1998,1996,2,66
ml,aaai,1999,1983,1,5
ml,aaai,1999,1987,3,10
ml,aaai,1999,1988,1,10
ml,aaai,1999,1990,1,25
ml,aaai,1999,1991,3,25
ml,aaai,1999,1992,2,36
ml,aaai,1999,1993,4,39
ml,aaai,1999,1994,1,53
ml,aaai,1999,1996,5,69
ml,aaai,1999,1997,4,66
ml,aaai,1999,1998,1,30
