from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ml,aamas,2000,1997,3,84
ml,aamas,2000,1998,2,50
ml,aamas,2002,2000,1,106
ml,aamas,2004,2001,1,71
ml,aamas,2005,2001,2,63
ml,aamas,2005,2003,1,75
ml,aamas,2006,1998,1,79
ml,aamas,2006,2005,1,46
ml,aamas,2007,2001,1,56
ml,aamas,2007,2004,2,77
ml,aamas,2008,2001,1,64
ml,aamas,2009,1998,2,48
ml,aamas,2009,2007,1,136
ml,aamas,2010,2001,1,52
ml,aamas,2010,2002,1,61
ml,aamas,2010,2005,3,104
ml,aamas,2010,2006,1,114
ml,aamas,2010,2009,1,65
ml,aamas,2011,2004,2,84
ml,aamas,2011,2006,1,139
ml,aamas,2011,2007,3,147
ml,aamas,2011,2008,1,132
ml,aamas,2011,2009,1,141
ml,aamas,2011,2010,1,86
ml,aamas,2013,2006,1,156
ml,aamas,2013,2007,1,180
ml,aamas,2013,2009,1,229
ml,aamas,2013,2011,1,213
ml,aamas,2014,2004,2,65
ml,aamas,2014,2009,1,133
ml,aamas,2015,2008,1,84
