from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ml,alt,1992,1990,1,43
ml,alt,1994,1990,1,42
ml,alt,1995,1990,1,42
ml,alt,1996,1990,1,53
ml,alt,1997,1992,1,43
ml,alt,1998,1990,1,16
ml,alt,1998,1994,1,49
ml,alt,2000,1990,1,21
ml,alt,2000,1998,1,50
ml,alt,2001,1990,1,22
ml,alt,2001,1991,1,23
ml,alt,2001,1996,2,53
ml,alt,2001,1998,1,68
ml,alt,2001,1999,1,46
ml,alt,2004,2000,1,72
ml,alt,2005,1995,1,36
ml,alt,2005,1998,1,57
ml,alt,2005,1999,1,61
ml,alt,2005,2000,1,67
ml,alt,2005,2002,2,85
ml,alt,2006,1990,1,18
ml,alt,2006,1995,1,41
ml,alt,2006,1996,1,53
ml,alt,2006,1999,1,78
ml,alt,2006,2004,1,85
ml,alt,2007,1990,2,12
ml,alt,2007,1999,1,55
ml,alt,2007,2002,1,58
ml,alt,2007,2004,3,77
ml,alt,2008,1990,1,16
ml,alt,2008,1991,1,11
ml,alt,2008,2004,1,86
ml,alt,2009,1990,1,11
ml,alt,2009,2001,1,68
ml,alt,2009,2005,1,138
ml,alt,2009,2007,1,136
ml,alt,2010,1996,1,29
ml,alt,2010,2008,2,89
ml,alt,2011,1990,1,11
ml,alt,2011,2005,1,107
ml,alt,2011,2006,2,139
ml,alt,2011,2008,1,132
ml,alt,2011,2009,2,141
ml,alt,2012,1990,1,12
ml,alt,2012,1996,1,30
ml,alt,2012,2002,1,69
ml,alt,2012,2005,1,87
ml,alt,2012,2008,1,126
ml,alt,2013,1991,1,16
ml,alt,2013,1994,1,29
ml,alt,2013,1997,1,53
ml,alt,2013,2001,4,73
ml,alt,2013,2003,1,115
ml,alt,2013,2004,1,158
ml,alt,2013,2005,2,144
ml,alt,2013,2006,1,156
ml,alt,2013,2007,1,180
ml,alt,2013,2008,2,193
ml,alt,2013,2009,2,229
ml,alt,2013,2010,3,243
ml,alt,2013,2011,1,213
ml,alt,2013,2012,1,146
ml,alt,2014,2005,1,66
ml,alt,2014,2007,1,90
