from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ml,coling,1997,1992,1,43
ml,coling,1999,1992,1,36
ml,coling,1999,1996,2,69
ml,coling,2000,1994,1,74
ml,coling,2000,1996,1,69
ml,coling,2005,1992,2,16
ml,coling,2005,1994,1,27
ml,coling,2005,2000,2,67
ml,coling,2005,2002,3,85
ml,coling,2007,2002,1,58
ml,coling,2007,2004,1,77
ml,coling,2008,2006,1,95
ml,coling,2009,1996,1,38
ml,coling,2009,2002,2,86
ml,coling,2009,2006,4,123
ml,coling,2010,2006,2,114
ml,coling,2010,2009,1,65
ml,coling,2011,2002,2,84
ml,coling,2012,2010,1,113
ml,coling,2013,1998,1,52
ml,coling,2013,2002,2,94
ml,coling,2013,2006,2,156
ml,coling,2014,1998,1,28
ml,coling,2014,2002,1,52
ml,coling,2014,2006,2,102
