from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ml,colt,1989,1988,1,17
ml,colt,1990,1988,2,27
ml,colt,1990,1989,1,32
ml,colt,1992,1988,2,28
ml,colt,1992,1990,1,43
ml,colt,1992,1991,1,21
ml,colt,1993,1988,2,45
ml,colt,1993,1990,1,72
ml,colt,1993,1991,1,49
ml,colt,1994,1988,3,22
ml,colt,1994,1989,2,48
ml,colt,1994,1990,3,42
ml,colt,1994,1991,6,50
ml,colt,1994,1992,3,45
ml,colt,1994,1993,3,19
ml,colt,1995,1988,3,19
ml,colt,1995,1989,1,30
ml,colt,1995,1990,1,42
ml,colt,1995,1991,4,46
ml,colt,1995,1992,9,72
ml,colt,1995,1993,3,53
ml,colt,1995,1994,4,30
ml,colt,1996,1988,1,26
ml,colt,1996,1989,2,41
ml,colt,1996,1990,1,53
ml,colt,1996,1991,4,51
ml,colt,1996,1992,3,69
ml,colt,1996,1993,4,72
ml,colt,1996,1994,5,64
ml,colt,1996,1995,1,30
ml,colt,1997,1988,1,18
ml,colt,1997,1989,2,24
ml,colt,1997,1990,2,35
ml,colt,1997,1991,3,31
ml,colt,1997,1992,5,43
ml,colt,1997,1993,1,45
ml,colt,1997,1994,2,61
ml,colt,1997,1995,4,39
ml,colt,1997,1996,1,34
ml,colt,1998,1991,3,29
ml,colt,1998,1992,2,49
ml,colt,1998,1993,5,45
ml,colt,1998,1994,2,49
ml,colt,1998,1995,6,59
ml,colt,1998,1996,1,66
ml,colt,1998,1997,2,39
ml,colt,1999,1989,1,19
ml,colt,1999,1991,2,25
ml,colt,1999,1992,3,36
ml,colt,1999,1993,5,39
ml,colt,1999,1994,9,53
ml,colt,1999,1995,7,56
ml,colt,1999,1996,4,69
ml,colt,1999,1997,4,66
ml,colt,1999,1998,2,30
ml,colt,2000,1991,2,26
ml,colt,2000,1992,5,51
ml,colt,2000,1994,1,74
ml,colt,2000,1995,1,65
ml,colt,2000,1996,1,69
ml,colt,2000,1997,2,84
ml,colt,2000,1998,4,50
ml,colt,2000,1999,1,19
ml,colt,2001,1988,1,8
ml,colt,2001,1989,1,15
ml,colt,2001,1990,1,22
ml,colt,2001,1991,2,23
ml,colt,2001,1992,2,30
ml,colt,2001,1994,2,31
ml,colt,2001,1996,4,53
ml,colt,2001,1997,1,78
ml,colt,2001,1998,4,68
ml,colt,2001,1999,4,46
ml,colt,2001,2000,1,19
ml,colt,2002,1989,1,27
ml,colt,2002,1991,1,45
ml,colt,2002,1992,3,48
ml,colt,2002,1994,2,52
ml,colt,2002,1995,4,74
ml,colt,2002,1996,3,73
ml,colt,2002,1997,4,88
ml,colt,2002,1998,4,92
ml,colt,2002,1999,7,89
ml,colt,2002,2000,3,106
ml,colt,2003,1989,2,15
ml,colt,2003,1990,1,13
ml,colt,2003,1991,1,23
ml,colt,2003,1992,4,24
ml,colt,2003,1993,2,23
ml,colt,2003,1994,1,31
ml,colt,2003,1995,3,43
ml,colt,2003,1997,5,79
ml,colt,2003,1998,5,79
ml,colt,2003,1999,6,72
ml,colt,2003,2000,3,75
ml,colt,2004,1992,2,28
ml,colt,2004,1994,1,31
ml,colt,2004,1995,1,43
ml,colt,2004,1997,1,47
ml,colt,2004,1998,1,53
ml,colt,2004,1999,1,72
ml,colt,2004,2003,1,39
ml,colt,2005,1989,1,6
ml,colt,2005,1991,1,7
ml,colt,2005,1992,1,16
ml,colt,2005,1996,1,38
ml,colt,2005,1997,2,38
ml,colt,2005,1998,2,57
ml,colt,2005,1999,1,61
ml,colt,2005,2000,4,67
ml,colt,2005,2001,1,63
ml,colt,2005,2002,2,85
ml,colt,2005,2003,4,75
ml,colt,2006,1991,1,25
ml,colt,2006,1992,1,32
ml,colt,2006,1994,3,32
ml,colt,2006,1998,3,79
ml,colt,2006,1999,2,78
ml,colt,2006,2001,1,83
ml,colt,2006,2003,2,125
ml,colt,2007,1992,4,24
ml,colt,2007,1994,1,29
ml,colt,2007,1995,2,26
ml,colt,2007,1997,5,39
ml,colt,2007,1998,3,63
ml,colt,2007,1999,7,55
ml,colt,2007,2001,2,56
ml,colt,2007,2003,2,70
ml,colt,2007,2004,3,77
ml,colt,2007,2005,4,60
ml,colt,2008,1991,1,11
ml,colt,2008,1992,2,16
ml,colt,2008,1993,1,18
ml,colt,2008,1994,1,28
ml,colt,2008,1995,3,28
ml,colt,2008,1997,1,39
ml,colt,2008,1998,4,61
ml,colt,2008,1999,4,46
ml,colt,2008,2000,1,59
ml,colt,2008,2001,2,64
ml,colt,2008,2003,4,81
ml,colt,2008,2005,5,74
ml,colt,2008,2006,2,95
ml,colt,2008,2007,1,66
ml,colt,2009,1991,1,8
ml,colt,2009,1992,2,15
ml,colt,2009,1993,1,16
ml,colt,2009,1995,1,32
ml,colt,2009,1996,1,38
ml,colt,2009,1998,3,48
ml,colt,2009,1999,1,58
ml,colt,2009,2000,1,61
ml,colt,2009,2001,3,68
ml,colt,2009,2002,1,86
ml,colt,2009,2003,3,104
ml,colt,2009,2005,3,138
ml,colt,2009,2006,2,123
ml,colt,2009,2007,1,136
ml,colt,2010,1988,1,7
ml,colt,2010,1989,1,9
ml,colt,2010,1992,3,14
ml,colt,2010,1994,2,27
ml,colt,2010,1995,1,29
ml,colt,2010,1996,1,29
ml,colt,2010,1998,3,44
ml,colt,2010,1999,1,38
