from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ml,cvpr,1998,1994,2,49
ml,cvpr,1998,1997,1,39
ml,cvpr,2002,1997,2,88
ml,cvpr,2002,2000,2,106
ml,cvpr,2003,1993,1,23
ml,cvpr,2003,1994,1,31
ml,cvpr,2003,1996,2,53
ml,cvpr,2003,1997,3,79
ml,cvpr,2003,1999,1,72
ml,cvpr,2004,2001,1,71
ml,cvpr,2005,2001,1,63
ml,cvpr,2005,2003,2,75
ml,cvpr,2006,1997,1,58
ml,cvpr,2006,1999,1,78
ml,cvpr,2006,2003,1,125
ml,cvpr,2007,1997,1,39
ml,cvpr,2007,2003,1,70
ml,cvpr,2008,2000,1,59
ml,cvpr,2008,2004,2,86
ml,cvpr,2009,2003,1,104
ml,cvpr,2009,2004,1,110
ml,cvpr,2009,2005,2,138
ml,cvpr,2009,2008,2,93
ml,cvpr,2010,2000,1,29
ml,cvpr,2010,2006,1,114
ml,cvpr,2010,2008,1,89
ml,cvpr,2010,2009,1,65
ml,cvpr,2011,1997,1,31
ml,cvpr,2011,2001,1,62
ml,cvpr,2011,2005,1,107
ml,cvpr,2011,2007,1,147
ml,cvpr,2011,2009,3,141
ml,cvpr,2012,2003,1,68
ml,cvpr,2012,2006,2,614
ml,cvpr,2012,2008,3,126
ml,cvpr,2012,2009,4,146
ml,cvpr,2012,2010,2,113
ml,cvpr,2013,1997,1,53
ml,cvpr,2013,2001,2,73
ml,cvpr,2013,2003,1,115
ml,cvpr,2013,2004,2,158
ml,cvpr,2013,2005,1,144
ml,cvpr,2013,2006,2,156
ml,cvpr,2013,2007,2,180
ml,cvpr,2013,2008,1,193
ml,cvpr,2013,2009,8,229
ml,cvpr,2013,2010,4,243
ml,cvpr,2013,2011,1,213
ml,cvpr,2013,2012,1,146
ml,cvpr,2014,2000,1,28
ml,cvpr,2014,2003,2,74
ml,cvpr,2014,2005,1,66
ml,cvpr,2014,2006,3,102
ml,cvpr,2014,2007,1,90
ml,cvpr,2014,2008,3,104
ml,cvpr,2014,2009,2,133
ml,cvpr,2014,2010,4,128
ml,cvpr,2014,2011,1,107
ml,cvpr,2015,2004,1,51
ml,cvpr,2015,2005,2,64
ml,cvpr,2015,2006,1,74
ml,cvpr,2015,2007,2,74
ml,cvpr,2015,2008,3,84
ml,cvpr,2015,2009,3,100
ml,cvpr,2015,2010,6,98
ml,cvpr,2015,2011,6,103
ml,cvpr,2015,2013,2,69
