from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ml,gecco,2003,1999,1,72
ml,gecco,2005,2002,2,85
ml,gecco,2008,2001,1,64
ml,gecco,2008,2003,1,81
ml,gecco,2008,2004,1,86
ml,gecco,2008,2005,3,74
ml,gecco,2008,2007,1,66
ml,gecco,2009,2001,1,68
ml,gecco,2009,2006,2,123
ml,gecco,2009,2007,2,136
ml,gecco,2011,2001,1,62
ml,gecco,2011,2003,1,81
ml,gecco,2011,2007,1,147
ml,gecco,2011,2008,1,132
ml,gecco,2013,2005,1,144
ml,gecco,2015,2004,1,51
ml,gecco,2015,2007,1,74
