from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ml,ictai,1995,1992,1,72
ml,ictai,1996,1994,1,64
ml,ictai,1996,1995,1,30
ml,ictai,1997,1994,1,61
ml,ictai,1998,1992,1,49
ml,ictai,1998,1994,1,49
ml,ictai,1999,1994,1,53
ml,ictai,2000,1992,1,51
ml,ictai,2000,1994,1,74
ml,ictai,2000,1995,1,65
ml,ictai,2003,1994,1,31
ml,ictai,2004,1994,1,31
ml,ictai,2005,1994,2,27
ml,ictai,2005,2003,1,75
ml,ictai,2006,1995,1,41
ml,ictai,2006,1999,1,78
ml,ictai,2006,2004,1,85
ml,ictai,2007,2004,1,77
ml,ictai,2009,2004,1,110
ml,ictai,2010,1994,1,27
ml,ictai,2010,2003,1,93
ml,ictai,2010,2004,1,90
ml,ictai,2011,2004,1,84
ml,ictai,2011,2007,1,147
ml,ictai,2012,2010,2,113
ml,ictai,2012,2011,1,65
ml,ictai,2013,2004,3,158
