from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ml,ijcai,1986,1969,1,2
ml,ijcai,1986,1975,2,4
ml,ijcai,1986,1977,3,5
ml,ijcai,1986,1981,4,12
ml,ijcai,1986,1983,10,21
ml,ijcai,1986,1985,10,17
ml,ijcai,1987,1975,1,4
ml,ijcai,1987,1977,1,4
ml,ijcai,1987,1979,2,5
ml,ijcai,1987,1985,4,12
ml,ijcai,1988,1977,3,7
ml,ijcai,1988,1981,2,8
ml,ijcai,1988,1983,3,11
ml,ijcai,1988,1985,6,11
ml,ijcai,1988,1987,2,20
ml,ijcai,1989,1975,1,1
ml,ijcai,1989,1977,1,3
ml,ijcai,1989,1980,1,3
ml,ijcai,1989,1981,1,4
ml,ijcai,1989,1983,1,7
ml,ijcai,1989,1985,5,17
ml,ijcai,1989,1987,6,48
ml,ijcai,1990,1981,2,8
ml,ijcai,1990,1983,1,8
ml,ijcai,1990,1985,5,11
ml,ijcai,1990,1987,7,19
ml,ijcai,1990,1989,14,32
ml,ijcai,1991,1973,1,4
ml,ijcai,1991,1975,1,5
ml,ijcai,1991,1979,1,1
ml,ijcai,1991,1985,3,7
ml,ijcai,1991,1987,7,31
ml,ijcai,1991,1989,8,50
ml,ijcai,1992,1977,1,3
ml,ijcai,1992,1979,1,3
ml,ijcai,1992,1983,2,9
ml,ijcai,1992,1987,3,14
ml,ijcai,1992,1989,5,42
ml,ijcai,1992,1991,1,21
ml,ijcai,1993,1973,1,3
ml,ijcai,1993,1975,1,2
ml,ijcai,1993,1977,1,5
ml,ijcai,1993,1983,4,12
ml,ijcai,1993,1985,5,13
ml,ijcai,1993,1987,9,33
ml,ijcai,1993,1989,15,57
ml,ijcai,1993,1991,6,49
ml,ijcai,1994,1983,2,6
ml,ijcai,1994,1985,1,9
ml,ijcai,1994,1987,4,31
ml,ijcai,1994,1989,5,48
ml,ijcai,1994,1991,4,50
ml,ijcai,1995,1977,2,4
ml,ijcai,1995,1983,2,6
ml,ijcai,1995,1985,1,6
ml,ijcai,1995,1987,4,23
ml,ijcai,1995,1989,6,30
ml,ijcai,1995,1991,5,46
ml,ijcai,1995,1993,5,53
ml,ijcai,1996,1977,1,4
ml,ijcai,1996,1983,1,7
ml,ijcai,1996,1987,3,24
ml,ijcai,1996,1989,5,41
ml,ijcai,1996,1991,4,51
ml,ijcai,1996,1993,7,72
ml,ijcai,1996,1995,4,30
ml,ijcai,1997,1977,1,1
ml,ijcai,1997,1981,1,3
ml,ijcai,1997,1987,2,9
ml,ijcai,1997,1989,3,24
ml,ijcai,1997,1991,3,31
ml,ijcai,1997,1993,6,45
ml,ijcai,1997,1995,6,39
ml,ijcai,1998,1981,2,4
ml,ijcai,1998,1985,1,5
ml,ijcai,1998,1987,1,15
ml,ijcai,1998,1989,1,18
ml,ijcai,1998,1993,3,45
ml,ijcai,1998,1995,8,59
ml,ijcai,1998,1997,3,39
ml,ijcai,1999,1985,1,5
ml,ijcai,1999,1989,1,19
ml,ijcai,1999,1991,1,25
ml,ijcai,1999,1993,4,39
ml,ijcai,1999,1995,6,56
ml,ijcai,1999,1996,1,69
ml,ijcai,1999,1997,1,66
ml,ijcai,2000,1973,1,6
ml,ijcai,2000,1975,1,2
ml,ijcai,2000,1983,1,6
ml,ijcai,2000,1985,1,1
ml,ijcai,2000,1987,1,15
ml,ijcai,2000,1989,3,18
ml,ijcai,2000,1991,3,26
ml,ijcai,2000,1993,7,44
ml,ijcai,2000,1995,11,65
ml,ijcai,2000,1996,1,69
ml,ijcai,2000,1997,6,84
