from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ml,kr,1991,1989,1,50
ml,kr,1993,1991,1,49
ml,kr,1994,1991,1,50
ml,kr,1995,1991,1,46
ml,kr,1996,1989,1,41
ml,kr,1997,1989,1,24
ml,kr,1998,1992,1,49
ml,kr,1999,1992,1,36
ml,kr,2000,1989,1,18
ml,kr,2000,1994,1,74
ml,kr,2001,1992,1,30
ml,kr,2003,1992,1,24
ml,kr,2003,1996,1,53
ml,kr,2004,1989,1,11
ml,kr,2006,1989,1,16
ml,kr,2006,1991,1,25
ml,kr,2006,1998,1,79
ml,kr,2008,2000,1,59
ml,kr,2009,1989,1,10
ml,kr,2009,1994,1,30
ml,kr,2009,2006,1,123
ml,kr,2010,2002,1,61
ml,kr,2010,2004,1,90
ml,kr,2011,1992,1,20
ml,kr,2011,2000,1,54
ml,kr,2013,2004,1,158
ml,kr,2014,2002,1,52
ml,kr,2014,2004,1,65
ml,kr,2015,2014,1,37
