from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ml,ml,1987,1986,5,12
ml,ml,1988,1986,4,20
ml,ml,1988,1987,4,20
ml,ml,1989,1986,3,14
ml,ml,1989,1987,1,48
ml,ml,1989,1988,4,17
ml,ml,1990,1982,1,9
ml,ml,1990,1986,4,13
ml,ml,1990,1987,3,19
ml,ml,1990,1988,6,27
ml,ml,1990,1989,5,32
ml,ml,1991,1986,6,19
ml,ml,1991,1987,1,31
ml,ml,1991,1988,4,34
ml,ml,1991,1989,10,50
ml,ml,1991,1990,4,27
ml,ml,1992,1986,3,12
ml,ml,1992,1987,1,14
ml,ml,1992,1988,3,28
ml,ml,1992,1989,5,42
ml,ml,1992,1990,5,43
ml,ml,1992,1991,3,21
ml,ml,1993,1986,4,27
ml,ml,1993,1987,5,33
ml,ml,1993,1988,9,45
ml,ml,1993,1989,6,57
ml,ml,1993,1990,9,72
ml,ml,1993,1991,5,49
ml,ml,1993,1992,3,21
ml,ml,1994,1986,3,11
ml,ml,1994,1987,4,31
ml,ml,1994,1988,2,22
ml,ml,1994,1989,6,48
ml,ml,1994,1990,2,42
ml,ml,1994,1991,2,50
ml,ml,1994,1992,6,45
ml,ml,1994,1993,2,19
ml,ml,1995,1986,1,8
ml,ml,1995,1987,3,23
ml,ml,1995,1988,3,19
ml,ml,1995,1989,4,30
ml,ml,1995,1990,5,42
ml,ml,1995,1991,2,46
ml,ml,1995,1992,7,72
ml,ml,1995,1993,4,53
ml,ml,1995,1994,4,30
ml,ml,1996,1986,4,17
ml,ml,1996,1987,3,24
ml,ml,1996,1988,3,26
ml,ml,1996,1989,4,41
ml,ml,1996,1990,5,53
ml,ml,1996,1991,8,51
ml,ml,1996,1992,11,69
ml,ml,1996,1993,10,72
ml,ml,1996,1994,9,64
ml,ml,1996,1995,5,30
ml,ml,1997,1986,2,10
ml,ml,1997,1987,1,9
ml,ml,1997,1988,4,18
ml,ml,1997,1989,4,24
ml,ml,1997,1990,5,35
ml,ml,1997,1991,6,31
ml,ml,1997,1992,12,43
ml,ml,1997,1993,9,45
ml,ml,1997,1994,5,61
ml,ml,1997,1995,2,39
