from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
ml,uai,1991,1987,1,31
ml,uai,1992,1988,1,28
ml,uai,1992,1990,5,43
ml,uai,1992,1991,1,21
ml,uai,1993,1990,1,72
ml,uai,1995,1989,1,30
ml,uai,1995,1990,2,42
ml,uai,1995,1993,3,53
ml,uai,1995,1994,3,30
ml,uai,1996,1990,1,53
ml,uai,1997,1986,1,10
ml,uai,1997,1988,1,18
ml,uai,1997,1990,2,35
ml,uai,1997,1992,1,43
ml,uai,1997,1994,6,61
ml,uai,1997,1995,4,39
ml,uai,1997,1996,2,34
ml,uai,1998,1996,1,66
ml,uai,1999,1990,1,25
ml,uai,1999,1994,5,53
ml,uai,2000,1992,1,51
ml,uai,2000,1994,2,74
ml,uai,2000,1995,2,65
ml,uai,2001,1997,1,78
ml,uai,2001,1999,3,46
ml,uai,2001,2000,1,19
ml,uai,2002,1997,1,88
ml,uai,2002,1998,4,92
ml,uai,2002,2000,2,106
ml,uai,2003,1987,1,15
ml,uai,2003,1990,1,13
ml,uai,2003,1994,1,31
ml,uai,2003,1995,1,43
ml,uai,2003,1996,1,53
ml,uai,2003,1998,1,79
ml,uai,2003,1999,2,72
ml,uai,2003,2000,4,75
ml,uai,2004,1995,1,43
ml,uai,2004,1999,1,72
ml,uai,2004,2000,1,72
ml,uai,2004,2001,1,71
ml,uai,2004,2002,2,50
ml,uai,2005,1990,1,12
ml,uai,2005,1994,2,27
ml,uai,2005,1995,1,36
ml,uai,2005,1996,1,38
ml,uai,2005,1998,1,57
ml,uai,2005,1999,3,61
ml,uai,2005,2000,3,67
ml,uai,2005,2001,1,63
ml,uai,2005,2002,1,85
ml,uai,2006,1990,2,18
ml,uai,2006,1993,1,16
ml,uai,2006,1995,3,41
ml,uai,2006,1996,3,53
ml,uai,2006,1997,1,58
ml,uai,2006,1998,3,79
ml,uai,2006,1999,4,78
ml,uai,2006,2000,1,96
ml,uai,2006,2001,1,83
ml,uai,2006,2002,4,98
ml,uai,2007,1994,1,29
ml,uai,2007,1999,1,55
ml,uai,2007,2000,2,62
ml,uai,2007,2001,1,56
ml,uai,2007,2002,1,58
ml,uai,2007,2004,2,77
ml,uai,2008,1987,1,3
ml,uai,2008,1990,1,16
ml,uai,2008,1993,1,18
ml,uai,2008,1994,1,28
ml,uai,2008,1995,1,28
ml,uai,2008,1997,2,39
ml,uai,2008,1998,4,61
ml,uai,2008,1999,1,46
ml,uai,2008,2000,3,59
ml,uai,2008,2001,1,64
ml,uai,2008,2002,1,69
ml,uai,2008,2004,1,86
ml,uai,2009,1994,1,30
ml,uai,2009,1995,1,32
ml,uai,2009,1996,1,38
ml,uai,2009,1998,1,48
ml,uai,2009,1999,2,58
ml,uai,2009,2000,2,61
ml,uai,2009,2001,2,68
ml,uai,2009,2004,4,110
ml,uai,2010,1996,2,29
ml,uai,2010,1998,1,44
ml,uai,2010,1999,1,38
ml,uai,2010,2004,2,90
ml,uai,2010,2007,1,109
ml,uai,2010,2009,2,65
ml,uai,2011,1990,1,11
ml,uai,2011,1992,1,20
ml,uai,2011,1993,1,11
ml,uai,2011,1994,4,38
ml,uai,2011,1995,2,25
ml,uai,2011,1996,1,37
ml,uai,2011,1998,1,31
ml,uai,2011,1999,5,45
ml,uai,2011,2000,2,54
ml,uai,2011,2001,1,62
ml,uai,2011,2002,8,84
ml,uai,2011,2003,1,81
ml,uai,2011,2004,3,84
ml,uai,2011,2006,1,139
ml,uai,2011,2009,4,141
ml,uai,2011,2010,1,86
ml,uai,2012,1990,1,12
ml,uai,2012,1992,1,14
ml,uai,2012,1994,1,21
ml,uai,2012,1995,1,18
ml,uai,2012,1996,2,30
ml,uai,2012,1997,1,35
ml,uai,2012,1999,2,37
ml,uai,2012,2000,2,43
ml,uai,2012,2001,1,48
ml,uai,2012,2002,4,69
ml,uai,2012,2004,2,63
ml,uai,2012,2005,1,87
ml,uai,2012,2009,3,146
ml,uai,2013,1998,2,52
ml,uai,2013,1999,4,63
ml,uai,2013,2000,2,62
ml,uai,2013,2001,2,73
ml,uai,2013,2002,1,94
ml,uai,2013,2004,2,158
ml,uai,2013,2006,1,156
ml,uai,2013,2007,1,180
ml,uai,2013,2009,7,229
ml,uai,2013,2010,1,243
ml,uai,2013,2012,10,146
ml,uai,2014,1998,1,28
ml,uai,2014,1999,2,30
ml,uai,2014,2002,2,52
ml,uai,2014,2004,1,65
ml,uai,2014,2009,1,133
ml,uai,2014,2012,2,106
ml,uai,2014,2013,1,56
ml,uai,2015,1994,1,20
ml,uai,2015,1995,1,14
ml,uai,2015,1997,1,20
ml,uai,2015,1998,1,24
ml,uai,2015,2000,1,30
ml,uai,2015,2004,1,51
ml,uai,2015,2005,1,64
ml,uai,2015,2009,2,100
ml,uai,2015,2010,1,98
ml,uai,2015,2012,2,80
ml,uai,2015,2013,2,69
