from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
naacl,acl,1994,1983,1,3
naacl,acl,1994,1988,1,8
naacl,acl,1994,1990,2,18
naacl,acl,1994,1991,3,18
naacl,acl,1994,1992,3,28
naacl,acl,1994,1993,6,38
naacl,acl,2000,1983,1,4
naacl,acl,2000,1985,1,4
naacl,acl,2000,1989,1,5
naacl,acl,2000,1990,1,15
naacl,acl,2000,1991,2,9
naacl,acl,2000,1992,1,12
naacl,acl,2000,1993,1,22
naacl,acl,2000,1994,7,29
naacl,acl,2000,1995,5,27
naacl,acl,2000,1996,4,41
naacl,acl,2000,1997,3,40
naacl,acl,2000,1998,31,79
naacl,acl,2000,1999,20,47
naacl,acl,2001,1983,2,2
naacl,acl,2001,1987,1,2
naacl,acl,2001,1988,1,1
naacl,acl,2001,1992,1,10
naacl,acl,2001,1993,4,14
naacl,acl,2001,1994,3,15
naacl,acl,2001,1995,5,23
naacl,acl,2001,1996,4,24
naacl,acl,2001,1997,2,18
naacl,acl,2001,1998,12,33
naacl,acl,2001,1999,10,25
naacl,acl,2001,2000,8,45
naacl,acl,2002,1991,1,2
naacl,acl,2002,1995,1,4
naacl,acl,2002,1998,1,2
naacl,acl,2002,1999,3,4
naacl,acl,2003,1979,1,3
naacl,acl,2003,1985,1,5
naacl,acl,2003,1990,2,16
naacl,acl,2003,1991,4,22
naacl,acl,2003,1992,3,31
naacl,acl,2003,1993,6,27
naacl,acl,2003,1994,2,47
naacl,acl,2003,1995,4,36
naacl,acl,2003,1996,6,70
naacl,acl,2003,1997,4,53
naacl,acl,2003,1998,9,79
naacl,acl,2003,1999,19,80
naacl,acl,2003,2000,15,126
naacl,acl,2003,2001,19,91
naacl,acl,2003,2002,30,140
naacl,acl,2004,1983,1,3
naacl,acl,2004,1987,2,4
naacl,acl,2004,1993,1,14
naacl,acl,2004,1994,4,18
naacl,acl,2004,1995,3,24
naacl,acl,2004,1996,4,23
naacl,acl,2004,1997,1,19
naacl,acl,2004,1998,5,30
naacl,acl,2004,1999,4,29
naacl,acl,2004,2000,6,49
naacl,acl,2004,2001,8,39
naacl,acl,2004,2002,15,62
naacl,acl,2004,2003,10,76
naacl,acl,2006,1993,2,11
naacl,acl,2006,1994,2,15
naacl,acl,2006,1995,1,19
naacl,acl,2006,1996,4,23
naacl,acl,2006,1997,1,25
naacl,acl,2006,1998,5,34
naacl,acl,2006,1999,12,42
naacl,acl,2006,2000,6,54
naacl,acl,2006,2001,7,49
naacl,acl,2006,2002,19,78
naacl,acl,2006,2003,21,110
naacl,acl,2006,2004,29,153
naacl,acl,2006,2005,39,157
naacl,acl,2007,1993,1,11
naacl,acl,2007,1995,4,26
naacl,acl,2007,1996,3,12
naacl,acl,2007,1998,3,21
naacl,acl,2007,1999,4,36
naacl,acl,2007,2000,8,43
naacl,acl,2007,2001,7,30
naacl,acl,2007,2002,9,49
naacl,acl,2007,2003,15,68
naacl,acl,2007,2004,17,84
naacl,acl,2007,2005,33,108
naacl,acl,2007,2006,5,123
naacl,acl,2008,2000,1,3
naacl,acl,2008,2002,2,5
naacl,acl,2008,2003,1,8
naacl,acl,2008,2004,2,6
naacl,acl,2008,2005,2,9
naacl,acl,2008,2006,1,5
naacl,acl,2009,1987,1,3
naacl,acl,2009,1991,1,9
naacl,acl,2009,1993,2,15
naacl,acl,2009,1994,4,16
naacl,acl,2009,1995,5,22
naacl,acl,2009,1996,4,20
naacl,acl,2009,1997,2,29
naacl,acl,2009,1998,7,34
naacl,acl,2009,1999,3,41
naacl,acl,2009,2000,6,41
naacl,acl,2009,2001,7,45
naacl,acl,2009,2002,15,76
naacl,acl,2009,2003,14,89
naacl,acl,2009,2004,17,127
naacl,acl,2009,2005,29,120
naacl,acl,2009,2006,7,178
naacl,acl,2009,2007,42,200
naacl,acl,2009,2008,53,192
naacl,acl,2010,1987,1,5
naacl,acl,2010,1992,1,12
naacl,acl,2010,1993,3,18
naacl,acl,2010,1994,4,26
naacl,acl,2010,1995,4,27
naacl,acl,2010,1996,7,41
naacl,acl,2010,1997,1,51
naacl,acl,2010,1998,4,57
naacl,acl,2010,1999,7,55
naacl,acl,2010,2000,10,75
naacl,acl,2010,2001,6,58
naacl,acl,2010,2002,22,99
naacl,acl,2010,2003,15,122
naacl,acl,2010,2004,16,146
naacl,acl,2010,2005,44,169
naacl,acl,2010,2006,8,210
naacl,acl,2010,2007,44,224
naacl,acl,2010,2008,37,267
naacl,acl,2010,2009,44,326
naacl,acl,2011,2003,1,3
naacl,acl,2011,2004,2,3
naacl,acl,2011,2005,1,4
naacl,acl,2011,2007,1,1
naacl,acl,2011,2008,1,6
naacl,acl,2011,2009,1,9
naacl,acl,2012,1991,1,4
naacl,acl,2012,1992,1,9
naacl,acl,2012,1993,1,7
naacl,acl,2012,1994,1,6
naacl,acl,2012,1995,1,9
naacl,acl,2012,1996,1,16
naacl,acl,2012,1997,1,12
naacl,acl,2012,1998,3,19
naacl,acl,2012,1999,5,21
naacl,acl,2012,2000,4,39
naacl,acl,2012,2001,2,31
naacl,acl,2012,2002,12,48
naacl,acl,2012,2003,9,68
naacl,acl,2012,2004,12,65
naacl,acl,2012,2005,16,74
naacl,acl,2012,2006,3,96
naacl,acl,2012,2007,19,103
naacl,acl,2012,2008,22,131
naacl,acl,2012,2009,22,140
naacl,acl,2012,2010,29,174
naacl,acl,2012,2011,51,161
naacl,acl,2013,1989,1,4
naacl,acl,2013,1990,1,8
naacl,acl,2013,1993,2,12
naacl,acl,2013,1996,3,15
naacl,acl,2013,1997,1,10
naacl,acl,2013,1998,1,16
naacl,acl,2013,1999,2,19
naacl,acl,2013,2000,3,25
naacl,acl,2013,2001,6,28
naacl,acl,2013,2002,12,45
naacl,acl,2013,2003,11,53
naacl,acl,2013,2004,15,73
naacl,acl,2013,2005,20,69
naacl,acl,2013,2006,8,99
naacl,acl,2013,2007,22,99
naacl,acl,2013,2008,27,112
naacl,acl,2013,2009,26,134
naacl,acl,2013,2010,39,185
naacl,acl,2013,2011,53,167
naacl,acl,2013,2012,38,176
naacl,acl,2014,2003,1,1
naacl,acl,2014,2010,1,2
naacl,acl,2015,2008,1,4
naacl,acl,2015,2011,2,2
naacl,acl,2015,2012,1,1
