from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
naacl,coling,1991,1988,1,2
naacl,coling,1994,1988,1,8
naacl,coling,1994,1990,2,18
naacl,coling,1994,1992,4,28
naacl,coling,2000,1986,1,6
naacl,coling,2000,1990,2,15
naacl,coling,2000,1992,1,12
naacl,coling,2000,1994,7,29
naacl,coling,2000,1996,6,41
naacl,coling,2000,1998,7,79
naacl,coling,2001,1990,1,7
naacl,coling,2001,1992,3,10
naacl,coling,2001,1994,2,15
naacl,coling,2001,1996,2,24
naacl,coling,2001,1998,3,33
naacl,coling,2001,2000,3,45
naacl,coling,2002,1990,1,2
naacl,coling,2002,1994,1,2
naacl,coling,2002,1996,1,1
naacl,coling,2003,1984,1,3
naacl,coling,2003,1988,3,11
naacl,coling,2003,1990,3,16
naacl,coling,2003,1992,7,31
naacl,coling,2003,1994,14,47
naacl,coling,2003,1996,11,70
naacl,coling,2003,1998,3,79
naacl,coling,2003,2000,13,126
naacl,coling,2003,2002,28,140
naacl,coling,2004,1990,1,6
naacl,coling,2004,1992,1,6
naacl,coling,2004,1994,3,18
naacl,coling,2004,1996,3,23
naacl,coling,2004,2000,5,49
naacl,coling,2004,2002,8,62
naacl,coling,2004,2003,1,76
naacl,coling,2006,1990,1,10
naacl,coling,2006,1992,3,12
naacl,coling,2006,1994,1,15
naacl,coling,2006,1996,2,23
naacl,coling,2006,2000,4,54
naacl,coling,2006,2002,7,78
naacl,coling,2006,2004,17,153
naacl,coling,2006,2005,1,157
naacl,coling,2007,1986,1,7
naacl,coling,2007,1988,1,4
naacl,coling,2007,1990,2,8
naacl,coling,2007,1992,2,11
naacl,coling,2007,1994,1,16
naacl,coling,2007,1996,1,12
naacl,coling,2007,2000,6,43
naacl,coling,2007,2002,6,49
naacl,coling,2007,2003,1,68
naacl,coling,2007,2004,9,84
naacl,coling,2007,2005,1,108
naacl,coling,2007,2006,25,123
naacl,coling,2008,1992,1,1
naacl,coling,2008,2002,1,5
naacl,coling,2008,2006,2,5
naacl,coling,2009,1969,1,5
naacl,coling,2009,1990,1,6
naacl,coling,2009,1992,2,13
naacl,coling,2009,1994,2,16
naacl,coling,2009,1996,1,20
naacl,coling,2009,1998,1,34
naacl,coling,2009,1999,1,41
naacl,coling,2009,2000,7,41
naacl,coling,2009,2002,3,76
naacl,coling,2009,2003,1,89
naacl,coling,2009,2004,14,127
naacl,coling,2009,2005,4,120
naacl,coling,2009,2006,32,178
naacl,coling,2009,2008,28,192
naacl,coling,2010,1984,1,4
naacl,coling,2010,1988,1,8
naacl,coling,2010,1990,1,15
naacl,coling,2010,1992,2,12
naacl,coling,2010,1994,4,26
naacl,coling,2010,1996,5,41
naacl,coling,2010,1998,2,57
naacl,coling,2010,2000,4,75
naacl,coling,2010,2001,1,58
naacl,coling,2010,2002,11,99
naacl,coling,2010,2003,3,122
naacl,coling,2010,2004,12,146
naacl,coling,2010,2005,2,169
naacl,coling,2010,2006,31,210
naacl,coling,2010,2008,23,267
naacl,coling,2010,2009,2,326
naacl,coling,2011,2006,1,7
naacl,coling,2011,2008,1,6
naacl,coling,2012,1990,2,10
naacl,coling,2012,1992,1,9
naacl,coling,2012,1994,1,6
naacl,coling,2012,1996,3,16
naacl,coling,2012,1998,1,19
naacl,coling,2012,2000,1,39
naacl,coling,2012,2004,6,65
naacl,coling,2012,2005,1,74
naacl,coling,2012,2006,15,96
naacl,coling,2012,2008,13,131
naacl,coling,2012,2009,1,140
naacl,coling,2012,2010,14,174
naacl,coling,2013,1982,1,3
naacl,coling,2013,1988,2,5
naacl,coling,2013,1992,1,11
naacl,coling,2013,1994,2,12
naacl,coling,2013,1996,2,15
naacl,coling,2013,2000,4,25
naacl,coling,2013,2002,3,45
naacl,coling,2013,2004,4,73
naacl,coling,2013,2006,22,99
naacl,coling,2013,2008,7,112
naacl,coling,2013,2009,1,134
naacl,coling,2013,2010,16,185
naacl,coling,2013,2011,1,167
naacl,coling,2013,2012,8,176
naacl,coling,2014,2004,1,1
