from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
naacl,colt,2000,1994,1,29
naacl,colt,2000,1997,1,40
naacl,colt,2000,1998,1,79
naacl,colt,2001,1998,2,33
naacl,colt,2003,1992,1,31
naacl,colt,2003,1998,2,79
naacl,colt,2004,1992,1,6
naacl,colt,2004,1998,1,30
naacl,colt,2006,1998,2,34
naacl,colt,2007,1998,1,21
naacl,colt,2007,2001,1,30
naacl,colt,2007,2003,1,68
naacl,colt,2009,1992,1,13
naacl,colt,2009,1998,1,34
naacl,colt,2009,2001,1,45
naacl,colt,2009,2003,1,89
naacl,colt,2010,1992,2,12
naacl,colt,2010,1998,2,57
naacl,colt,2010,1999,1,55
naacl,colt,2010,2006,1,210
naacl,colt,2012,1998,1,19
naacl,colt,2012,2001,1,31
naacl,colt,2012,2003,1,68
naacl,colt,2012,2008,1,131
naacl,colt,2013,1998,1,16
naacl,colt,2013,2001,1,28
naacl,colt,2013,2007,1,99
naacl,colt,2013,2008,1,112
