from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
naacl,icml,2000,1996,1,41
naacl,icml,2000,1999,1,47
naacl,icml,2001,1996,1,24
naacl,icml,2001,1998,1,33
naacl,icml,2001,1999,1,25
naacl,icml,2001,2000,1,45
naacl,icml,2003,1992,1,31
naacl,icml,2003,1994,3,47
naacl,icml,2003,1995,1,36
naacl,icml,2003,1997,1,53
naacl,icml,2003,1998,2,79
naacl,icml,2003,1999,4,80
naacl,icml,2003,2000,4,126
naacl,icml,2003,2001,2,91
naacl,icml,2003,2002,1,140
naacl,icml,2004,1996,1,23
naacl,icml,2004,1997,1,19
naacl,icml,2004,1998,2,30
naacl,icml,2004,1999,2,29
naacl,icml,2004,2000,1,49
naacl,icml,2004,2001,2,39
naacl,icml,2004,2002,1,62
naacl,icml,2004,2003,2,76
naacl,icml,2006,1995,2,19
naacl,icml,2006,1997,1,25
naacl,icml,2006,1998,5,34
naacl,icml,2006,1999,3,42
naacl,icml,2006,2000,4,54
naacl,icml,2006,2001,1,49
naacl,icml,2006,2002,1,78
naacl,icml,2006,2004,4,153
naacl,icml,2006,2005,5,157
naacl,icml,2007,1997,1,11
naacl,icml,2007,1998,1,21
naacl,icml,2007,1999,1,36
naacl,icml,2007,2001,1,30
naacl,icml,2007,2003,1,68
naacl,icml,2007,2004,1,84
naacl,icml,2007,2005,5,108
naacl,icml,2007,2006,3,123
naacl,icml,2008,2003,1,8
naacl,icml,2009,1994,1,16
naacl,icml,2009,1995,2,22
naacl,icml,2009,1998,2,34
naacl,icml,2009,1999,4,41
naacl,icml,2009,2001,2,45
naacl,icml,2009,2002,2,76
naacl,icml,2009,2003,3,89
naacl,icml,2009,2004,1,127
naacl,icml,2009,2005,5,120
naacl,icml,2009,2006,7,178
naacl,icml,2009,2007,3,200
naacl,icml,2009,2008,6,192
naacl,icml,2010,1996,1,41
naacl,icml,2010,1997,2,51
naacl,icml,2010,1998,1,57
naacl,icml,2010,1999,2,55
naacl,icml,2010,2000,2,75
naacl,icml,2010,2001,2,58
naacl,icml,2010,2002,1,99
naacl,icml,2010,2003,2,122
naacl,icml,2010,2004,2,146
naacl,icml,2010,2005,3,169
naacl,icml,2010,2006,5,210
naacl,icml,2010,2007,4,224
naacl,icml,2010,2008,9,267
naacl,icml,2010,2009,4,326
naacl,icml,2012,1998,1,19
naacl,icml,2012,1999,2,21
naacl,icml,2012,2000,2,39
naacl,icml,2012,2001,1,31
naacl,icml,2012,2002,1,48
naacl,icml,2012,2003,1,68
naacl,icml,2012,2004,1,65
naacl,icml,2012,2005,2,74
naacl,icml,2012,2006,4,96
naacl,icml,2012,2007,4,103
naacl,icml,2012,2008,7,131
naacl,icml,2012,2009,2,140
naacl,icml,2012,2010,4,174
naacl,icml,2012,2011,3,161
naacl,icml,2013,1995,1,13
naacl,icml,2013,1997,1,10
naacl,icml,2013,1999,2,19
naacl,icml,2013,2000,1,25
naacl,icml,2013,2001,1,28
naacl,icml,2013,2003,2,53
naacl,icml,2013,2004,2,73
naacl,icml,2013,2005,1,69
naacl,icml,2013,2006,2,99
naacl,icml,2013,2007,4,99
naacl,icml,2013,2008,3,112
naacl,icml,2013,2009,2,134
naacl,icml,2013,2010,2,185
naacl,icml,2013,2011,2,167
naacl,icml,2013,2012,1,176
