from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
naacl,ml,2000,1989,1,5
naacl,ml,2000,1997,1,40
naacl,ml,2000,1999,2,47
naacl,ml,2001,1987,1,2
naacl,ml,2001,1991,1,9
naacl,ml,2001,1993,1,14
naacl,ml,2001,1999,1,25
naacl,ml,2001,2000,1,45
naacl,ml,2003,1986,1,4
naacl,ml,2003,1994,1,47
naacl,ml,2003,1996,1,70
naacl,ml,2003,1997,3,53
naacl,ml,2003,1998,1,79
naacl,ml,2003,1999,3,80
naacl,ml,2003,2000,2,126
naacl,ml,2003,2001,1,91
naacl,ml,2004,1986,1,5
naacl,ml,2004,1997,1,19
naacl,ml,2004,1998,1,30
naacl,ml,2004,1999,3,29
naacl,ml,2006,1987,1,2
naacl,ml,2006,1988,1,5
naacl,ml,2006,1994,1,15
naacl,ml,2006,1999,1,42
naacl,ml,2006,2000,1,54
naacl,ml,2006,2005,1,157
naacl,ml,2007,1999,3,36
naacl,ml,2007,2000,1,43
naacl,ml,2008,1991,1,2
naacl,ml,2009,1986,1,5
naacl,ml,2009,1988,1,3
naacl,ml,2009,1994,1,16
naacl,ml,2009,1997,1,29
naacl,ml,2009,1999,4,41
naacl,ml,2009,2005,1,120
naacl,ml,2009,2006,1,178
naacl,ml,2009,2007,1,200
naacl,ml,2010,1986,1,5
naacl,ml,2010,1988,1,8
naacl,ml,2010,1994,1,26
naacl,ml,2010,1997,1,51
naacl,ml,2010,1999,5,55
naacl,ml,2010,2001,2,58
naacl,ml,2010,2005,1,169
naacl,ml,2010,2006,1,210
naacl,ml,2010,2007,1,224
naacl,ml,2010,2009,1,326
naacl,ml,2012,1991,1,4
naacl,ml,2012,1995,1,9
naacl,ml,2012,1999,2,21
naacl,ml,2012,2000,2,39
naacl,ml,2012,2001,1,31
naacl,ml,2012,2002,1,48
naacl,ml,2012,2005,1,74
naacl,ml,2012,2007,1,103
naacl,ml,2012,2009,2,140
naacl,ml,2013,1991,1,8
naacl,ml,2013,1994,1,12
naacl,ml,2013,1995,1,13
naacl,ml,2013,1997,1,10
naacl,ml,2013,1999,3,19
naacl,ml,2013,2001,1,28
naacl,ml,2013,2002,1,45
naacl,ml,2013,2005,1,69
naacl,ml,2013,2007,1,99
naacl,ml,2013,2010,2,185
naacl,ml,2013,2011,1,167
