from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
naacl,nips,2001,2000,1,45
naacl,nips,2003,1995,1,36
naacl,nips,2003,2001,3,91
naacl,nips,2004,2002,1,62
naacl,nips,2004,2003,1,76
naacl,nips,2006,1992,1,12
naacl,nips,2006,1999,1,42
naacl,nips,2006,2000,1,54
naacl,nips,2006,2001,3,49
naacl,nips,2006,2002,4,78
naacl,nips,2006,2003,2,110
naacl,nips,2006,2004,4,153
naacl,nips,2007,1990,1,8
naacl,nips,2007,1999,2,36
naacl,nips,2007,2002,1,49
naacl,nips,2007,2003,1,68
naacl,nips,2007,2004,2,84
naacl,nips,2007,2005,1,108
naacl,nips,2007,2006,2,123
naacl,nips,2009,1996,1,20
naacl,nips,2009,1997,1,29
naacl,nips,2009,1999,1,41
naacl,nips,2009,2001,5,45
naacl,nips,2009,2002,4,76
naacl,nips,2009,2003,1,89
naacl,nips,2009,2004,3,127
naacl,nips,2009,2006,4,178
naacl,nips,2009,2007,9,200
naacl,nips,2009,2008,7,192
naacl,nips,2010,1996,1,41
naacl,nips,2010,1997,1,51
naacl,nips,2010,1998,1,57
naacl,nips,2010,2000,1,75
naacl,nips,2010,2001,2,58
naacl,nips,2010,2002,2,99
naacl,nips,2010,2003,5,122
naacl,nips,2010,2004,3,146
naacl,nips,2010,2005,2,169
naacl,nips,2010,2007,9,224
naacl,nips,2010,2008,3,267
naacl,nips,2010,2009,16,326
naacl,nips,2011,2006,1,7
naacl,nips,2011,2009,1,9
naacl,nips,2012,2001,1,31
naacl,nips,2012,2002,1,48
naacl,nips,2012,2003,2,68
naacl,nips,2012,2004,2,65
naacl,nips,2012,2005,2,74
naacl,nips,2012,2006,3,96
naacl,nips,2012,2007,7,103
naacl,nips,2012,2008,5,131
naacl,nips,2012,2009,5,140
naacl,nips,2012,2010,4,174
naacl,nips,2012,2011,6,161
naacl,nips,2013,1995,1,13
naacl,nips,2013,2001,2,28
naacl,nips,2013,2003,3,53
naacl,nips,2013,2004,2,73
naacl,nips,2013,2005,1,69
naacl,nips,2013,2006,1,99
naacl,nips,2013,2007,5,99
naacl,nips,2013,2009,4,134
naacl,nips,2013,2010,1,185
naacl,nips,2013,2011,3,167
naacl,nips,2013,2012,3,176
naacl,nips,2015,2008,1,4
