from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
naacl,uai,2001,2000,1,45
naacl,uai,2003,1994,1,47
naacl,uai,2003,1999,1,80
naacl,uai,2003,2002,2,140
naacl,uai,2004,1998,1,30
naacl,uai,2006,2002,1,78
naacl,uai,2006,2004,1,153
naacl,uai,2007,1997,1,11
naacl,uai,2007,2002,2,49
naacl,uai,2007,2004,1,84
naacl,uai,2009,2002,1,76
naacl,uai,2009,2004,1,127
naacl,uai,2010,2001,1,58
naacl,uai,2010,2004,2,146
naacl,uai,2010,2005,1,169
naacl,uai,2010,2006,1,210
naacl,uai,2010,2009,1,326
naacl,uai,2012,1999,1,21
naacl,uai,2012,2000,1,39
naacl,uai,2012,2009,1,140
naacl,uai,2013,2009,3,134
naacl,uai,2013,2012,2,176
