from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
nips,aamas,2002,1997,1,37
nips,aamas,2004,2003,1,141
nips,aamas,2007,2005,1,190
nips,aamas,2008,2002,1,78
nips,aamas,2008,2005,1,143
nips,aamas,2009,2003,1,171
nips,aamas,2009,2004,2,181
nips,aamas,2009,2006,1,250
nips,aamas,2009,2007,1,284
nips,aamas,2009,2008,1,297
nips,aamas,2010,2007,1,215
nips,aamas,2010,2008,1,266
nips,aamas,2010,2009,2,315
nips,aamas,2011,2007,2,165
nips,aamas,2011,2008,1,252
nips,aamas,2011,2009,1,311
nips,aamas,2011,2010,2,297
nips,aamas,2012,2008,1,231
nips,aamas,2012,2009,1,319
nips,aamas,2012,2010,1,359
nips,aamas,2013,2001,1,51
nips,aamas,2013,2004,1,117
nips,aamas,2013,2005,1,113
nips,aamas,2013,2006,1,174
nips,aamas,2013,2007,1,174
nips,aamas,2013,2008,1,223
nips,aamas,2013,2009,1,263
nips,aamas,2013,2010,2,288
nips,aamas,2013,2011,2,336
nips,aamas,2014,2008,2,207
nips,aamas,2014,2011,1,314
nips,aamas,2014,2012,1,433
