from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
nips,alt,2004,2002,1,98
nips,alt,2006,2005,2,114
nips,alt,2007,2001,1,73
nips,alt,2007,2004,1,128
nips,alt,2007,2006,1,167
nips,alt,2008,1999,1,43
nips,alt,2008,2005,1,143
nips,alt,2008,2006,1,178
nips,alt,2009,2006,1,250
nips,alt,2009,2008,1,297
nips,alt,2010,2005,1,139
nips,alt,2010,2007,1,215
nips,alt,2010,2008,2,266
nips,alt,2011,1999,1,37
nips,alt,2011,2006,1,181
nips,alt,2011,2009,1,311
nips,alt,2012,2006,2,179
nips,alt,2012,2008,1,231
nips,alt,2012,2009,1,319
nips,alt,2012,2010,1,359
nips,alt,2012,2011,2,353
nips,alt,2013,2005,2,113
nips,alt,2013,2007,2,174
nips,alt,2013,2008,1,223
nips,alt,2013,2009,1,263
nips,alt,2013,2012,2,468
nips,alt,2014,1999,1,37
nips,alt,2014,2005,1,144
nips,alt,2014,2006,2,167
nips,alt,2014,2011,1,314
nips,alt,2014,2012,3,433
nips,alt,2014,2013,1,504
nips,alt,2015,2012,1,8
