from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
nips,bmvc,2001,1999,1,66
nips,bmvc,2003,1995,1,37
nips,bmvc,2003,2002,1,115
nips,bmvc,2004,1998,1,39
nips,bmvc,2006,1999,1,43
nips,bmvc,2007,2004,1,128
nips,bmvc,2007,2005,1,190
nips,bmvc,2007,2006,1,167
nips,bmvc,2008,1996,1,30
nips,bmvc,2008,2003,1,107
nips,bmvc,2009,2005,1,177
nips,bmvc,2009,2006,1,250
nips,bmvc,2009,2008,1,297
nips,bmvc,2010,2004,1,124
nips,bmvc,2010,2005,1,139
nips,bmvc,2010,2007,1,215
nips,bmvc,2010,2008,1,266
nips,bmvc,2010,2009,2,315
nips,bmvc,2011,2008,3,252
nips,bmvc,2011,2009,2,311
nips,bmvc,2011,2010,2,297
nips,bmvc,2012,2005,1,145
nips,bmvc,2012,2006,1,179
nips,bmvc,2012,2008,2,231
nips,bmvc,2012,2009,3,319
nips,bmvc,2012,2010,3,359
nips,bmvc,2012,2011,3,353
nips,bmvc,2013,2005,1,113
nips,bmvc,2013,2006,1,174
nips,bmvc,2013,2008,2,223
nips,bmvc,2013,2009,1,263
nips,bmvc,2013,2010,1,288
nips,bmvc,2013,2011,3,336
nips,bmvc,2013,2012,1,468
nips,bmvc,2014,1998,1,53
nips,bmvc,2014,2005,1,144
nips,bmvc,2014,2009,3,270
nips,bmvc,2014,2010,1,281
nips,bmvc,2014,2012,1,433
nips,bmvc,2014,2013,2,504
